universe,strategy,ticker,weight,rc_pct_var,sigma_i
portfolio,GMV_long_capped,HMC,0.1493776543544782,0.23280293422531345,1.7464137729593274
portfolio,GMV_long_capped,KHC,0.1493776543544782,0.23650286257771957,1.8786935067258994
portfolio,GMV_long_capped,MOS,0.1493776543544782,0.14771674902892112,1.0271177156247293
portfolio,GMV_long_capped,PFE,0.04396955952627475,0.08769122689752935,2.1483339015926144
portfolio,GMV_long_capped,SMCI,0.1493776543544782,-0.031885041467502276,1.7088649564805516
portfolio,GMV_long_capped,T,0.1493776543544782,0.1774823735830175,1.4078772968916557
portfolio,VolTarget_renorm,BAYRY,0.125,-0.10315671955436342,2.200719885354304
portfolio,VolTarget_renorm,CAG,0.125,0.4236956364033586,4.486010364887251
portfolio,VolTarget_renorm,HMC,0.125,0.159808904828052,1.7464137729593274
portfolio,VolTarget_renorm,KHC,0.125,0.16695079739844382,1.8786935067258994
portfolio,VolTarget_renorm,MOS,0.125,0.09340651544248633,1.0271177156247293
portfolio,VolTarget_renorm,PFE,0.125,0.20328210248699066,2.1483339015926144
portfolio,VolTarget_renorm,SMCI,0.125,-0.05251485571601088,1.7088649564805516
portfolio,VolTarget_renorm,T,0.125,0.10852761871104273,1.4078772968916557
