date,close,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,sma20,sma50,sma_cross,above_sma20,above_sma50,ticker
2026-08-03,200.79,48.27,0.656276,0.788625,-0.132349,211.5548,193.2012,0.413,202.378,200.78,0,False,True,BIIB
2026-08-03,193.16,60.26,5.137212,3.932395,1.204817,200.2467,166.1123,0.792,183.1795,175.5648,0,True,True,BKNG
2026-08-03,60.41,58.25,0.316478,-0.332271,0.64875,61.0756,54.1274,0.904,57.6015,59.655,0,True,True,BKR
2026-08-03,23.779,47.12,-2.065776,-2.51502,0.449245,26.8171,19.9658,0.557,23.3914,30.2905,0,True,False,BKSY
2026-08-03,71.05,45.12,-2.695538,-2.257566,-0.437972,79.6281,65.8289,0.378,72.7285,76.5064,0,False,False,BLDR
2026-08-03,1108.39,54.6,36.596652,32.182574,4.414078,1123.6809,990.6241,0.885,1057.1525,993.6046,0,True,True,BLK
2026-08-03,64.62,66.57,2.004925,1.612425,0.3925,66.046,55.633,0.863,60.8395,57.8494,0,True,True,BMY
2026-08-03,154.33,52.64,2.482141,3.321604,-0.839463,162.6668,148.6726,0.404,155.6697,147.8184,0,False,True,BNY
2026-08-03,157.73,61.31,2.896341,1.949834,0.946508,159.5727,141.1233,0.9,150.348,147.0104,0,True,True,BR
2026-07-31,511.54,65.98,4.327043,2.494655,1.832388,513.8187,481.2663,0.93,497.5425,491.3774,0,True,True,BRK.B
2026-08-03,71.6,59.53,2.072435,1.999907,0.072529,73.8764,64.3236,0.762,69.1,63.6784,0,True,True,BRO
2026-08-03,48.165,64.38,0.105838,-0.541307,0.647145,47.5692,41.9413,1.106,44.7553,46.4417,0,True,True,BSX
2026-08-03,131.01,54.71,3.701704,3.50576,0.195943,134.3076,117.9014,0.799,126.1045,119.011,0,True,True,BX
2026-08-03,70.79,59.27,1.478801,1.448291,0.03051,72.3901,65.4709,0.769,68.9305,65.6978,0,True,True,BXP
2026-08-03,131.76,49.56,-0.414798,-0.208229,-0.206569,141.8211,125.7359,0.375,133.7785,133.087,0,False,False,C
2026-08-03,14.72,49.36,-0.161948,-0.196719,0.034771,15.5058,13.2375,0.654,14.3717,14.8369,0,True,False,CAG
2026-08-03,232.24,56.05,1.332634,1.748164,-0.41553,239.1035,220.9055,0.623,230.0045,222.0977,0,True,True,CAH
2026-08-03,62.59,38.87,-1.779216,-0.998314,-0.780902,72.8051,60.5196,0.169,66.6623,67.9618,0,False,False,CARR
2026-08-03,859.075,54.4,12.347496,11.571363,0.776133,891.584,805.3908,0.623,848.4874,824.0703,0,True,True,CASY
2026-08-03,824.2041,47.58,-17.784241,-8.358191,-9.42605,982.1358,785.0648,0.199,883.6003,885.5346,-1,False,False,CAT
2026-08-03,347.39,51.12,8.78727,10.180308,-1.393038,365.5581,338.4789,0.329,352.0185,326.818,0,False,True,CB
2026-08-03,293.79,55.39,7.160593,3.691085,3.469508,309.4954,254.4056,0.715,281.9505,282.9026,0,True,True,CBOE
2026-08-03,145.965,58.3,2.748295,2.074694,0.673601,150.3212,132.8203,0.751,141.5708,136.0951,0,True,True,CBRE
2026-08-03,77.46,47.09,-1.480062,-1.86149,0.381427,80.8701,73.8609,0.513,77.3655,82.7323,0,True,False,CCI
2026-08-03,28.4155,58.34,0.071733,-0.181905,0.253638,28.4787,25.1108,0.981,26.7948,27.6641,0,True,True,CCL
2026-08-03,337.98,42.08,-10.280657,-9.799519,-0.481138,393.982,309.159,0.34,351.5705,371.069,0,False,False,CDNS
2026-08-03,148.945,65.18,3.737734,2.387886,1.349848,151.9182,125.0413,0.889,138.4798,132.9673,0,True,True,CDW
2026-08-03,272.64,57.85,1.799168,0.524656,1.274512,279.7927,239.1988,0.824,259.4958,263.0317,0,True,True,CEG
2026-08-03,119.73,49.24,2.188169,2.369321,-0.181152,129.5946,113.1364,0.401,121.3655,116.0863,0,False,True,CF
2026-08-03,72.14,56.51,0.950857,1.102237,-0.15138,73.6059,68.5729,0.709,71.0894,68.1622,0,True,True,CFG
2026-08-03,100.18,57.23,0.617082,0.401471,0.215611,100.6682,94.7028,0.918,97.6855,97.1676,0,True,True,CHD
2026-08-03,146.18,25.51,-8.941399,-2.11085,-6.830549,229.3078,145.4912,0.008,187.3995,185.1144,0,False,False,CHRW
2026-08-03,143.485,57.74,1.148478,-1.086297,2.234775,146.5823,120.9262,0.879,133.7542,136.2315,0,True,True,CHTR
2026-08-03,280.19,44.0,-0.133406,1.055003,-1.188409,305.0332,275.2798,0.165,290.1565,286.1372,0,False,False,CI
2026-08-03,382.575,43.75,-25.554812,-25.876627,0.321815,474.1201,328.8784,0.37,401.4992,460.0653,0,False,False,CIEN
2026-08-03,177.145,47.96,0.713638,1.636823,-0.923185,187.3009,172.4576,0.316,179.8792,174.0527,0,False,True,CINF
2026-08-03,90.93,48.19,0.035191,0.18425,-0.149059,94.1801,89.4444,0.314,91.8123,90.9804,0,False,False,CL
2026-08-03,97.93,53.57,0.538549,0.463772,0.074777,100.1225,92.6145,0.708,96.3685,95.5092,0,True,True,CLX
2026-08-03,24.54,56.93,0.101322,-0.039907,0.14123,24.8923,22.2237,0.868,23.558,23.5964,0,True,True,CMCSA
2026-08-03,264.66,62.73,4.729726,1.695345,3.034381,270.4387,230.6453,0.855,250.542,251.9747,0,True,True,CME
2026-08-03,37.155,62.07,0.81952,0.449118,0.370402,38.2278,30.7977,0.856,34.5128,32.8835,0,True,True,CMG
2026-08-03,644.76,46.38,-10.597239,-8.425957,-2.171281,689.8192,619.4558,0.36,654.6375,668.194,0,False,False,CMI
2026-08-03,71.86,37.76,-0.596029,-0.299287,-0.296742,76.9689,71.4131,0.08,74.191,74.0978,0,False,False,CMS
2026-08-03,62.76,46.02,-0.444835,0.214923,-0.659758,69.8467,60.5743,0.236,65.2105,63.7054,0,False,False,CNC
2026-08-03,41.93,39.28,-0.22829,0.000523,-0.228813,44.994,41.787,0.045,43.3905,43.158,0,False,False,CNP
2026-08-03,216.2,63.55,3.523716,3.114475,0.409241,216.6281,194.8009,0.98,205.7145,197.6362,0,True,True,COF
2026-08-03,285.79,46.15,-24.827037,-24.304049,-0.522989,348.8628,231.1242,0.464,289.9935,345.9646,0,False,False,COHR
2026-08-03,149.84,42.79,-2.175689,-1.086844,-1.088846,173.8683,148.2397,0.062,161.054,163.521,0,False,False,COIN
2026-08-03,73.8,62.17,1.072249,1.026437,0.045812,73.9121,68.7159,0.978,71.314,68.2924,0,True,True,COO
2026-08-03,118.855,58.14,2.041925,1.474553,0.567372,123.1909,106.6576,0.738,114.9243,113.5435,0,True,True,COP
2026-08-03,310.04,57.71,6.347058,6.616587,-0.269529,318.7554,295.8806,0.619,307.318,289.3598,0,True,True,COR
2026-08-03,949.0075,51.69,16.878181,13.496783,3.381398,973.2675,902.9806,0.655,938.1241,916.4435,0,True,True,COST
2026-08-03,383.02,60.95,9.735059,8.156309,1.57875,394.997,341.87,0.775,368.4335,356.8826,0,True,True,CPAY
2026-08-03,22.22,48.72,-0.490674,-0.481833,-0.008841,22.9992,21.3288,0.534,22.164,23.183,0,True,False,CPB
2026-08-03,29.255,51.24,-0.024615,-0.337186,0.312571,30.7566,26.0509,0.681,28.4038,29.8841,0,True,False,CPRT
2026-08-03,110.39,43.16,0.101739,0.538777,-0.437038,116.723,109.943,0.066,113.333,111.7846,0,False,False,CPT
2026-08-03,96.815,38.96,-2.484068,-1.99878,-0.485288,107.928,94.9475,0.144,101.4377,104.7909,0,False,False,CRH
2026-08-03,229.51,56.69,6.690159,7.75032,-1.060161,239.9597,217.2583,0.54,228.609,205.9902,0,True,True,CRL
2026-08-03,188.665,62.5,4.49935,2.049308,2.450042,189.4915,154.055,0.977,171.7733,171.0634,1,True,True,CRM
2026-08-03,198.57,55.15,3.908315,4.981805,-1.07349,210.6703,173.7567,0.672,192.2135,178.0243,0,True,True,CRWD
2026-08-03,115.435,51.88,0.816967,0.582358,0.234608,120.2351,108.2224,0.6,114.2287,114.8128,-1,True,True,CSCO
2026-08-03,29.91,51.76,-0.308438,-0.5631,0.254662,30.8973,27.1037,0.74,29.0005,30.6242,0,True,False,CSGP
2026-08-03,49.77,50.41,0.746524,0.983129,-0.236605,52.7272,47.9028,0.387,50.315,48.1963,0,False,True,CSX
2026-08-03,205.095,60.9,8.133066,8.145485,-0.012419,223.0307,173.1828,0.64,198.1067,183.6125,0,True,True,CTAS
2026-08-03,55.26,69.56,2.300567,0.728645,1.571923,56.0458,36.9332,0.959,46.4895,47.6528,0,True,True,CTSH
2026-08-03,76.97,36.9,0.447791,1.650194,-1.202403,92.8823,79.4367,-0.183,86.1595,81.6774,0,False,False,CTVA
2026-08-03,64.23,47.87,-1.123483,-0.995868,-0.127615,71.5966,59.2374,0.404,65.417,66.6908,0,False,False,CVNA
2026-08-03,104.775,51.16,1.404368,2.080509,-0.676142,109.7593,101.9963,0.358,105.8778,100.8178,0,False,True,CVS
2026-08-03,194.475,55.03,6.518699,5.818072,0.700627,201.5087,171.8168,0.763,186.6628,177.0587,0,True,True,CVX
2026-08-03,740.0,51.59,5.288127,6.347803,-1.059676,779.6426,690.9014,0.553,735.272,717.1632,0,True,True,CW
2026-08-03,68.69,44.43,0.300124,0.67135,-0.371226,72.0084,68.7826,-0.029,70.3955,68.6392,0,False,True,D
2026-08-03,90.8299,59.89,0.855087,0.623295,0.231792,90.7919,82.1357,1.004,86.4638,84.9376,0,True,True,DAL
2026-08-03,202.64,63.83,4.946393,3.867993,1.0784,204.932,172.516,0.929,188.724,175.5308,0,True,True,DASH
2026-08-03,138.85,51.76,1.510395,1.208472,0.301923,141.6434,132.3686,0.699,137.006,136.067,0,True,True,DD
2026-08-03,273.77,64.38,6.516332,6.131108,0.385224,276.7502,242.5628,0.913,259.6565,246.1052,0,True,True,DDOG
2026-08-03,611.545,52.15,13.601023,14.636218,-1.035196,632.787,570.5855,0.658,601.6862,570.4098,0,True,True,DE
2026-08-03,98.695,43.48,-1.791578,-1.376265,-0.415314,110.9416,94.8129,0.241,102.8773,105.9853,0,False,False,DECK
2026-08-03,421.61,53.17,2.869119,6.241164,-3.372046,464.2119,369.555,0.55,416.8834,402.0334,0,True,True,DELL
2026-08-03,127.01,55.69,3.956348,3.642432,0.313916,131.4751,112.7909,0.761,122.133,113.5411,0,True,True,DG
2026-08-03,232.975,71.85,8.159208,6.468522,1.690686,242.8769,192.5036,0.803,217.6903,207.1997,0,True,True,DGX
2026-08-03,144.8,43.73,-2.147121,-1.8259,-0.321222,155.657,140.206,0.297,147.9315,150.98,0,False,False,DHI
2026-08-03,198.1601,55.33,1.98671,2.244319,-0.257609,209.259,182.085,0.592,195.672,188.0368,0,True,True,DHR
2026-08-03,97.38,50.2,-0.475732,-0.715179,0.239447,99.5756,93.6464,0.63,96.611,98.6175,0,True,False,DIS
2026-08-03,191.225,56.28,2.327509,0.810185,1.517324,199.0309,165.7656,0.765,182.3983,184.8084,0,True,True,DLR
2026-08-03,129.51,61.07,2.911594,2.993267,-0.081673,131.4056,118.9304,0.848,125.168,117.282,0,True,True,DLTR
2026-08-03,21.705,49.94,0.348946,0.486375,-0.137429,22.851,21.2333,0.292,22.0421,20.9094,0,False,True,DOC
2026-08-03,204.29,43.8,-3.860141,-3.391068,-0.469072,221.0036,197.0224,0.303,209.013,214.2296,0,False,False,DOV
2026-08-03,30.405,49.33,-0.511074,-0.707423,0.196349,31.4308,28.2157,0.681,29.8233,31.8536,0,True,False,DOW
2026-08-03,362.285,67.99,12.331408,8.490252,3.841156,366.8468,287.7117,0.942,327.2793,314.9519,0,True,True,DPZ
2026-08-03,205.06,54.02,0.959128,-0.103535,1.062663,210.8963,189.7663,0.724,200.3313,202.3028,0,True,True,DRI
2026-08-03,141.51,36.93,-1.513812,-0.587593,-0.926219,154.0888,140.6672,0.063,147.378,146.7876,0,False,False,DTE
2026-08-03,124.41,49.82,1.692584,2.078102,-0.385518,130.4732,123.2458,0.161,126.8595,122.2713,0,False,True,DUK
2026-08-03,239.0,64.38,6.142943,6.960053,-0.81711,241.8573,228.7167,0.783,235.287,217.7066,0,True,True,DVA
2026-08-03,44.315,50.36,0.017766,-0.120295,0.138061,45.6633,41.7242,0.658,43.6938,44.2264,0,True,True,DVN
