group,metric,n,mean,median,std,p25,p75
sleeve_starlink_supply,mktcap_to_assets,11,3.8784545454545456,2.929,3.046888796599406,1.571,5.508
sleeve_emerging_growth,roe,4,0.095,0.125,0.08845903006477067,0.0625,0.1575
sleeve_emerging_growth,roic,4,0.08,0.09,0.06480740698407861,0.055,0.115
sleeve_emerging_growth,debt_to_equity,4,0.4,0.35,0.2738612787525831,0.17500000000000002,0.575
sleeve_emerging_growth,pb_ratio,4,6.6,5.135,4.321741547108064,3.7125000000000004,8.0225
sleeve_emerging_growth,earnings_stability,4,0.39999999999999997,0.32499999999999996,0.17677669529663687,0.2875,0.4375
sleeve_emerging_growth,interest_coverage,4,10.75,8.5,9.12071817347735,4.0,15.25
sleeve_cyclical,roe,3,0.18000000000000002,0.14,0.16573070526208072,0.07,0.27
sleeve_cyclical,roic,3,0.09999999999999999,0.1,0.06531972647421808,0.060000000000000005,0.14
sleeve_cyclical,debt_to_equity,3,2.3333333333333335,1.5,1.9293061504650375,1.0,3.25
sleeve_cyclical,ev_ebitda,1,13.0,13.0,0.0,13.0,13.0
sleeve_cyclical,pb_ratio,3,13.023333333333333,8.0,10.341387183975314,5.82,17.715
sleeve_cyclical,earnings_stability,3,0.6166666666666666,0.7,0.1545603082582617,0.55,0.725
sleeve_cyclical,interest_coverage,3,8.0,8.0,5.715476066494082,4.5,11.5
sleeve_cyclical,mktcap_to_assets,1,2.0,2.0,0.0,2.0,2.0
value_financial_value,roe,1,0.15,0.15,0.0,0.15,0.15
value_financial_value,roic,1,0.15,0.15,0.0,0.15,0.15
value_financial_value,debt_to_equity,1,0.2,0.2,0.0,0.2,0.2
value_financial_value,ev_ebitda,1,7.5,7.5,0.0,7.5,7.5
value_financial_value,pb_ratio,5,1.268,1.16,0.21008569680013914,1.1,1.44
value_financial_value,earnings_stability,1,0.72,0.72,0.0,0.72,0.72
value_financial_value,interest_coverage,1,8.0,8.0,0.0,8.0,8.0
value_financial_value,mktcap_to_assets,5,0.2544,0.284,0.08645137361546083,0.191,0.327
value_defensive_etf,roe,12,0.14083333333333334,0.14,0.03661928757119972,0.12,0.165
value_defensive_etf,roic,12,0.10416666666666669,0.11,0.030945741046045236,0.0975,0.12
value_defensive_etf,debt_to_equity,12,0.8333333333333334,0.8,0.24267032964268392,0.7,0.8500000000000001
value_defensive_etf,ev_ebitda,12,12.5,12.5,2.598076211353316,10.75,14.25
value_defensive_etf,pb_ratio,12,2.8000000000000003,2.75,0.9746794344808963,1.95,3.625
value_defensive_etf,earnings_stability,12,0.8583333333333334,0.89,0.07403077438170937,0.8375,0.9
value_defensive_etf,interest_coverage,12,9.666666666666666,10.0,3.324989557210001,8.0,12.0
value_defensive_etf,mktcap_to_assets,12,1.3458333333333332,1.35,0.5720789329765217,0.975,1.85
defensive_index,roe,70,0.2364285714285715,0.16999999999999998,0.20793567490442613,0.12,0.25
defensive_index,roic,70,0.11842857142857141,0.12,0.05233506648198194,0.08,0.15
defensive_index,debt_to_equity,70,1.0578571428571428,0.9,0.6937288331023521,0.5625,1.475
defensive_index,ev_ebitda,33,11.878787878787879,11.0,5.402062320877181,8.5,14.0
defensive_index,pb_ratio,79,4.469367088607596,2.19,14.335447730180583,1.525,5.555
defensive_index,earnings_stability,70,0.7935714285714285,0.81,0.10160196446759025,0.72,0.88
defensive_index,interest_coverage,70,9.657142857142857,8.0,5.69181295317033,5.0,12.0
defensive_index,mktcap_to_assets,82,1.5391829268292685,1.088,1.5820114020745466,0.5670000000000001,2.0
growth_tech_index,roe,21,0.1738095238095238,0.14,0.2019070080737592,0.08,0.2
growth_tech_index,roic,21,0.1295238095238095,0.1,0.11982034927245556,0.08,0.16
growth_tech_index,debt_to_equity,21,0.9452380952380954,0.5,1.3964158851370314,0.2,0.8
growth_tech_index,ev_ebitda,9,15.944444444444445,14.0,7.492382963325873,12.0,20.0
growth_tech_index,pb_ratio,39,11.61128205128205,6.72,12.144772470340666,3.3200000000000003,15.040000000000001
growth_tech_index,earnings_stability,21,0.5866666666666666,0.6,0.20466775244011667,0.4,0.75
growth_tech_index,interest_coverage,21,13.142857142857142,9.0,12.988220723063664,5.0,15.0
growth_tech_index,mktcap_to_assets,29,4.705103448275862,1.864,6.882577185432531,1.346,4.0
