ticker,sector,decision,composite_score,roe,roic,ev_ebitda,pb_ratio,mktcap_to_assets,leverage_flag,momentum_score,mom_12_1,resid_mom_63,factor_composite,liquidity_score,sp500_member,sp500_sector,suggested_w_max,sizing_action,buy_score,action,regime,reasons
IPI,Materials,SATELLITE,0.5672,0.05,0.04,9.0,1.2,0.836,,-0.5223811887317625,0.1575319395421113,-0.2156642773314019,-0.2202718007986639,0.0070422535211267,,,0.05,hold,-0.25,AVOID,Stress,"satellite,weak_momentum,low_liquidity,sp500_member,stress_regime_haircut"
ICL,Materials,SATELLITE,0.5643,0.12,0.08,7.0,1.4,1.809,,-0.5069911490000663,-0.1740558154713845,-0.1101926171500484,-0.0457198066967131,0.028169014084507,,,0.05,hold,-0.25,AVOID,Stress,"satellite,weak_momentum,low_liquidity,sp500_member,stress_regime_haircut"
FANG,Energy,AVOID,0.2836,,,,1.54,1.022,,-0.1146612520969385,0.229032708509266,-0.1721393991479009,0.0524591333662844,0.3732394366197183,True,Energy,0.03,reduce_or_avoid,-0.28,AVOID,Stress,"decision_avoid,sp500_member,stress_regime_haircut"
NEE,Utilities,AVOID,0.2796,0.12,0.06,,,0.965,,-0.4219399618946383,0.2218532864327844,-0.1078367113108069,-0.3164853881603416,0.6690140845070423,True,Utilities,0.03,reduce_or_avoid,-0.33,AVOID,Stress,"decision_avoid,sp500_member,stress_regime_haircut"
BA,Industrials,AVOID,0.0499,0.0,0.02,,28.63,,,-0.4029944356140267,-0.0294810376996778,-0.0968760756222273,-0.5872958179291279,0.7323943661971831,True,Industrials,0.03,reduce_or_avoid,-0.33,AVOID,Stress,"decision_avoid,sp500_member,stress_regime_haircut"
BX,Financials,AVOID,0.11,,,,11.36,3.985,,,,,-0.112341613700433,0.5211267605633803,,,0.03,reduce_or_avoid,-0.33,AVOID,Stress,"decision_avoid,sp500_member,stress_regime_haircut"
VUG,ETF,AVOID,0.11,,,,,,,-0.2853016150095397,0.1083264903502811,-0.0766463216159077,-0.110021061239911,0.5774647887323944,,,0.03,reduce_or_avoid,-0.33,AVOID,Stress,"decision_avoid,sp500_member,stress_regime_haircut"
QQQ,ETF,AVOID,0.11,,,,,,,-0.2698164957926096,0.2279007867975433,-0.0763985173955294,-0.1040495238912134,0.9929577464788732,,,0.03,reduce_or_avoid,-0.33,AVOID,Stress,"decision_avoid,sp500_member,stress_regime_haircut"
TDG,Industrials,AVOID,0.2052,0.0,0.15,20.0,50.0,3.0,,-0.2115082559669339,-0.0542288700331055,0.001942433450048,-0.4315777939825618,0.4084507042253521,,,0.03,reduce_or_avoid,-0.33,AVOID,Stress,"decision_avoid,sp500_member,stress_regime_haircut"
VNQ,Real Estate,AVOID,0.2334,0.06,0.04,,,1.0,,,,,-0.2267734957939647,0.2957746478873239,True,Real Estate,0.03,reduce_or_avoid,-0.33,AVOID,Stress,"decision_avoid,sp500_member,stress_regime_haircut"
