ticker,sector,industry,value_sleeve,defensive_value_index,growth_tech_index,dual_pass_member,roe,roic,debt_to_equity,ev_ebitda,pb_ratio,mktcap_to_assets,earnings_stability,buffett_pass,trifecta_pass,dual_pass,failed_legs,n_failed_legs,candidacy,decision,exclude_reasons
STM,Information Technology,Semiconductors,,False,True,False,,,,,2.63,1.346,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,
GSAT,Communication Services,Telecom Services,,False,True,False,,,,,31.13,7.126,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,
IRDM,Communication Services,Telecom Services,,False,True,False,,,,,10.48,1.65,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,
DUK,Utilities,Electric Utilities,,True,False,False,0.09,0.05,1.5,,1.83,0.544,0.88,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,
FANG,Energy,Oil & Gas E&P,,True,False,False,,,,,1.55,1.026,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,
TDW,Energy,Oil & Gas Equipment,,False,True,False,,,,,2.71,0.926,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,
STLD,Materials,Steel,,True,False,False,,,,,3.87,2.016,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,
MCHP,Information Technology,Semiconductors,,False,True,False,,,,,6.35,1.636,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,
TGT,Consumer Discretionary,Broadline Retail,,False,False,False,0.25,0.12,1.2,10.0,3.5,1.273,0.7,False,False,False,"roic,de,ev,pb,mca",5,EXCLUDE,AVOID,
DD,Materials,Chemicals,,True,False,False,0.06,0.05,0.5,10.0,1.8,0.778,0.62,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
GIS,Consumer Staples,Packaged Foods,,True,False,False,0.28,0.12,1.3,12.0,3.8,1.125,0.8,False,False,False,"roic,de,ev,pb,mca",5,EXCLUDE,AVOID,
CPB,Consumer Staples,Packaged Foods,,True,False,False,0.2,0.09,1.5,10.0,2.5,0.9,0.72,False,False,False,"roic,de,ev,pb,mca",5,EXCLUDE,AVOID,
O,Real Estate,Retail REITs,,True,False,False,0.05,0.04,1.2,15.0,1.4,0.714,0.9,False,False,False,"roe,roic,de,ev,mca",5,EXCLUDE,AVOID,
VNQ,Real Estate,REIT ETF,,False,False,False,0.06,0.04,0.8,,,1.0,0.75,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
VZ,Communication Services,Diversified Telecom,,True,False,False,0.2,0.08,1.8,,1.85,0.509,0.82,False,False,False,"roic,de,ev,pb,mca",5,EXCLUDE,AVOID,
ANDE,Consumer Staples,Food Distributors,,False,False,False,0.08,0.06,0.5,,1.88,0.574,0.55,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
MMM,Industrials,Industrial Conglomerates,,True,False,False,0.25,0.12,1.2,,30.64,2.261,0.72,False,False,False,"roic,de,ev,pb,mca",5,EXCLUDE,AVOID,
PEP,Consumer Staples,Beverages,,True,False,False,0.5,0.14,1.6,,8.59,1.898,0.88,False,False,False,"roic,de,ev,pb,mca",5,EXCLUDE,AVOID,
WM,Industrials,Environmental Services,,True,False,False,0.25,0.12,1.5,,9.15,2.584,0.9,False,False,False,"roic,de,ev,pb,mca",5,EXCLUDE,AVOID,
ALL,Financials,Property & Casualty Insurance,,True,False,False,0.12,0.09,0.35,,2.31,0.65,0.78,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
AMD,Information Technology,Semiconductors,,False,True,False,0.12,0.1,0.15,28.0,5.0,4.0,0.55,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
SPR,Industrials,Aerospace & Defense,,False,True,False,-0.1,-0.05,2.0,15.0,1.2,0.8,0.4,False,False,False,"roe,roic,de,ev,mca",5,EXCLUDE,AVOID,
SPLV,Multi-Sector,ETF,defensive_etf,True,False,False,0.14,0.11,0.8,13.0,3.0,1.5,0.9,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
DVY,Multi-Sector,ETF,defensive_etf,True,False,False,0.12,0.09,1.0,10.0,1.8,0.9,0.85,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
CW,Industrials,Aerospace & Defense,,False,True,False,0.14,0.1,0.5,14.0,3.0,1.8,0.82,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
VYM,Multi-Sector,ETF,defensive_etf,True,False,False,0.14,0.11,0.8,11.0,2.5,1.2,0.88,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
HII,Industrials,Aerospace & Defense,,False,True,False,0.12,0.08,0.8,12.0,2.5,1.0,0.8,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
PLTR,Information Technology,Software,,False,True,False,0.08,0.05,0.0,,34.07,,0.35,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
TDG,Industrials,Aerospace & Defense,,False,True,False,0.0,0.15,5.0,20.0,50.0,3.0,0.75,False,False,False,"roe,de,ev,pb,mca",5,EXCLUDE,AVOID,
RTX,Industrials,Aerospace & Defense,,True,False,False,0.12,0.08,0.7,,4.34,1.692,0.8,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
PLD,Real Estate,Industrial REITs,,True,False,False,0.08,0.05,0.6,,2.5,1.526,0.8,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
FITB,Financials,Banks,financial_value,True,False,True,,,,,1.59,0.284,,False,False,False,"roe,roic,de,ev,pb",5,EXCLUDE,AVOID,
SYF,Financials,Consumer Finance,,True,False,False,,,,,1.68,0.19,,False,False,False,"roe,roic,de,ev,pb",5,EXCLUDE,AVOID,
CRWD,Information Technology,Software—Infrastructure,,False,True,False,0.05,0.04,0.3,,41.01,,0.45,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
SCHW,Financials,Capital Markets,,False,True,False,0.14,0.1,0.5,,3.64,,0.75,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
CTVA,Materials,Fertilizers & Agricultural Chemicals,,False,False,False,0.08,0.06,0.4,,2.2,1.275,0.65,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
ENPH,Information Technology,Solar,,False,True,False,0.1,0.08,0.5,,4.15,,0.3,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
CVX,Energy,Oil Gas & Consumable Fuels,,True,False,False,0.14,0.11,0.2,,2.09,1.487,0.72,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
TRV,Financials,Property & Casualty Insurance,,True,False,False,0.14,0.1,0.3,,2.38,0.605,0.82,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
SEDG,Information Technology,Solar,,False,True,False,-0.05,-0.02,0.8,,6.12,,0.25,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
BMY,Health Care,Pharmaceuticals,,True,False,False,0.18,0.12,1.1,,6.54,1.381,0.7,False,False,False,"roic,de,ev,pb,mca",5,EXCLUDE,AVOID,
SMG,Materials,Fertilizers & Agricultural Chemicals,,False,False,False,0.12,0.08,1.5,,-13.52,1.019,0.55,False,False,False,"roe,roic,de,ev,mca",5,EXCLUDE,AVOID,
CB,Financials,Insurance,,True,False,False,0.13,0.1,0.3,,1.8,0.68,0.84,False,False,False,"roe,roic,ev,pb,mca",5,EXCLUDE,AVOID,
IBM,Information Technology,IT Services,,True,False,False,0.25,0.1,2.0,,5.98,1.586,0.78,False,False,False,"roic,de,ev,pb,mca",5,EXCLUDE,AVOID,
