ticker,sector,industry,value_sleeve,defensive_value_index,growth_tech_index,dual_pass_member,roe,roic,debt_to_equity,ev_ebitda,pb_ratio,mktcap_to_assets,earnings_stability,buffett_pass,trifecta_pass,dual_pass,failed_legs,n_failed_legs,candidacy,decision,exclude_reasons
AVGO,,,,False,False,False,0.33432165216498844,0.192119162767533,0.7401785816104275,47.85844996861157,22.61142573718914,11.06742949977033,3.429920090344694,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
BLK,Financials,Capital Markets,,False,False,False,0.22,0.18,0.2,16.0,3.5,1.077,0.85,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
CBOE,,,,False,False,False,0.22985019075090724,0.17750535347293084,0.2948915976551596,15.109749177413226,5.462643501796378,2.6514836464963807,5.58777675834757,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
CF,Materials,Fertilizers & Agricultural Chemicals,,False,False,False,0.25,0.15,0.5,,3.6,1.424,0.6,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
CHRW,,,,False,False,False,0.3515079034880739,0.17888393591723364,0.9650054192161237,23.43455391313847,11.447759845442624,3.7262285894549283,14.179745726852556,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
CINF,,,,False,False,False,0.17544864452080947,0.1661043499216773,0.05625556828305969,,1.528454929111219,0.5828089771190628,1.2969826364565775,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
COST,Consumer Discretionary,Consumer Staples Distribution,,True,False,False,0.28,0.16,0.4,,25.41,6.002,0.88,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
CPRT,,,,False,False,False,0.17701781026875874,0.17515895337743506,0.010612400082787571,14.272788570183526,3.493582907249028,3.176858158067861,18.768048472555027,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
CSCO,Information Technology,Communications Equipment,,True,False,False,0.25,0.18,0.3,,9.21,4.5,0.88,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
CTAS,,,,False,False,False,0.3891073869911926,0.25490794871781797,0.5264623521878983,22.707879851002634,13.333568776640995,6.508892162005914,22.49741209467872,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
DECK,,,,False,False,False,0.44091234149634917,0.3658378322259136,0.20521253587593768,8.913126018690667,5.8746154795528716,3.4951722348113745,1.7043929498006152,True,False,False,"pb,mca",2,INCLUDE,INCLUDE_QUALITY,
DXCM,,,,False,False,False,0.3813611047531853,0.24869396487387432,0.5334554055085069,16.48941501311216,9.695295241833817,3.9371132165729197,5.92467511750281,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
EME,,,,False,False,False,0.3528293241302143,0.3114497704419223,0.13286108263806945,16.796151950506946,8.969811086467143,3.6021197061585633,5.923953243282914,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
EXPD,,,,False,False,False,0.3660295836488835,0.29345173690429854,0.2473246453070212,15.722877528346778,8.1585599835561,3.8976195959654447,12.715715601293637,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
FAST,,,,False,False,False,0.33230111332301115,0.2997738559772969,0.10850598441839318,28.091196113142903,13.471335501714506,10.3548723949988,11.895965978497095,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
FDS,,,,False,False,False,0.2784887983506291,0.15708595110870813,0.7728434426189176,10.473707872251259,4.295781548708585,2.0826049931870108,13.054627389263107,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
FFIV,,,,False,False,False,0.19405382818547365,0.18115503105818845,0.07120308529075303,16.85228717163898,4.505035741683776,2.5304404262081572,8.519671315382658,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
FIX,,,,False,False,False,0.44584428594562653,0.404592048857897,0.10196007856352701,34.11033416729882,21.680934557563234,8.21807174234153,4.677955504431647,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
FSLR,,,,False,False,False,0.16918186206692068,0.16606013040466228,0.018798802907424157,9.779666427622159,2.4571454828337873,1.894042370830604,6.165426837458695,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
FTNT,,,,False,False,False,1.367223260911611,1.035498046875,0.32035329765972537,39.39099403153199,72.66655134502857,10.379501969875664,9.038039838940048,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
GEV,,,,False,False,False,0.796939031529648,0.6459901023659413,0.23367065317387303,100.69173613054548,26.169161752303182,3.8725825132709057,1.0996407361315588,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
GILD,,,,False,False,False,0.39192005103125666,0.2017115717131038,0.9429725706995534,12.871309680700541,7.310558878784948,3.0546180040980144,3.776679108370393,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
GOOG,,,,False,False,False,0.3812843492380715,0.32420781800126386,0.17604921309018237,6.150422746451233,3.0490488942432425,2.1181028671731608,1.74592598709693,True,False,False,"pb,mca",2,INCLUDE,INCLUDE_QUALITY,
GOOGL,Communication Services,Internet Content,,False,True,False,0.25,0.22,0.1,,6.89,,0.85,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
GRMN,,,,False,False,False,0.20791796401223478,0.20389921983019385,0.019709463260269976,18.885803737043915,5.073665317200638,4.0100338935878925,6.987386656163348,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
GWW,,,,False,False,False,0.4534351145038168,0.26553419758605273,0.7076335877862595,42.115792915914376,30.375558974426735,12.601704504327781,5.242370926751574,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
HIG,,,,False,False,False,0.22232975092955737,0.18182196859249386,0.22278816278714408,,1.8503446970719308,0.41289587122072696,7.320997211302641,True,False,False,"ev,pb",2,INCLUDE,INCLUDE_QUALITY,
HON,Industrials,Industrial Conglomerates,,True,False,False,0.28,0.16,0.8,,5.63,1.178,0.85,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
HPQ,Information Technology,Computer Hardware,,True,True,False,0.2,0.15,0.8,7.0,1.4,0.6,0.7,True,False,False,mca,1,INCLUDE,INCLUDE_QUALITY,
HWM,,,,False,False,False,0.3158275986961246,0.17084639498432602,0.848605577689243,37.099871879426495,16.691085464168857,7.053506844198395,4.988054853509769,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
IBKR,,,,False,False,False,0.18585496866606982,0.18545649455065213,0.0021486123545210387,2.630643878240787,5.344387474533882,0.1364504708376803,9.24917448205735,True,False,False,pb,1,INCLUDE,INCLUDE_QUALITY,
IDXX,,,,False,False,False,0.703830659024499,0.4115013259171146,0.7103970624052521,29.043318137905235,28.483698276940952,13.092189518951768,13.869248743975772,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
INCY,,,,False,False,False,0.2541416269743509,0.2526179384441742,0.006031592766375908,9.20405006176435,3.621732366102863,2.9186900683184303,3.865038172755175,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
INTU,,,,False,False,False,0.22221144990062533,0.16651531112644846,0.334480585583402,15.60073083792719,5.128724626584316,2.6900701836208456,1.2339161308288418,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
JCI,,,,False,False,False,0.2654650645304851,0.1559001611708847,0.7027889037234831,26.293594422316385,6.5646704162153435,2.283466718734107,2.011678937818592,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
JKHY,,,,False,False,False,0.24318405704298882,0.23334656292152456,0.04215829879085315,12.65679808493453,5.236350586018611,3.664451715174959,11.91879318487938,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
JNJ,Health Care,Pharmaceuticals,,True,False,False,0.22,0.15,0.45,,7.26,3.339,0.91,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
LULU,,,,False,False,False,0.3024823229272375,0.20967264895227525,0.44264082339173916,6.061327820657926,3.0943101901656638,1.750220900311403,2.7449629414308516,True,False,False,"pb,mca",2,INCLUDE,INCLUDE_QUALITY,
META,,,,False,False,False,0.260691138920684,0.18230492666093767,0.42997308792172145,11.92517758306834,4.755080140502025,2.7605516747906003,2.109687145267992,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
MNST,,,,False,False,False,0.23283096721853414,0.2276386513518679,0.022809465070324574,25.39274155380266,8.120337176968677,6.535366909955163,10.431731619986863,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
MPWR,,,,False,False,False,0.18516238330781717,0.18416239832659792,0.005429908549767363,61.352711502824626,14.584842306816418,12.055756443891491,6.723307039367959,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
MRK,Health Care,Pharmaceuticals,,True,False,False,0.3,0.18,0.7,12.0,6.5,2.636,0.84,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
MSFT,Information Technology,Software,,False,True,False,0.35,0.25,0.3,,7.59,6.715,0.9,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
NEM,,,,False,False,False,0.2439349658088131,0.21049925320143972,0.15884005334392645,5.923672510238609,2.792465446165389,1.7073759948510057,3.314960300540527,True,False,False,"pb,mca",2,INCLUDE,INCLUDE_QUALITY,
NFLX,,,,False,False,False,0.45269363425082976,0.3070001145713993,0.4745715482316096,8.64110474666376,9.860201196922443,5.086450916941204,3.2582950731962126,True,False,False,"pb,mca",2,INCLUDE,INCLUDE_QUALITY,
NKE,Consumer Discretionary,Textiles Apparel & Luxury,,False,False,False,0.3,0.18,0.6,,4.16,1.548,0.8,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
NVDA,Information Technology,Semiconductors,,False,True,False,0.9,0.55,0.2,,24.46,,0.6,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
NVR,,,,False,False,False,0.35448968155432947,0.27258584392302093,0.3004698866696775,10.215985371096565,5.051059375272452,3.159555068823126,5.264696187400249,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
ODFL,,,,False,False,False,0.22894651071135858,0.22688400479489915,0.009090574359016319,23.605744237123478,9.224573313189415,7.174461944259052,15.42788810126103,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
PG,Consumer Staples,Household Products,,True,False,False,0.18,0.16,0.55,18.0,7.5,3.25,0.92,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
PGR,,,,False,False,False,0.3607790505321639,0.2859369202226345,0.26174350010924186,,3.593932293736796,0.9422055393549837,12.657767072289484,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
PTC,,,,False,False,False,0.32290233383326344,0.23781336309907125,0.3577972643141368,9.801877073536923,4.263979875524988,2.517632891162698,1.643447828980566,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
QCOM,,,,False,False,False,0.33476751753561357,0.21568673127096533,0.5521006580374576,15.197156965299055,7.015311770570521,3.382249253934134,0.7143726379838022,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
REGN,Health Care,Biotechnology,,False,True,False,0.18,0.16,0.1,,2.4,,0.7,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
RMD,,,,False,False,False,0.23407067656965722,0.20716420270808225,0.12987993828011504,14.519984953430534,5.000948571825035,3.6958856689947144,20.58773463285106,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
ROL,,,,False,False,False,0.37193418844611453,0.2089339463240206,0.7801520288584824,24.450740181429726,14.0480219044574,5.986115358089697,6.703867071726846,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
ROST,,,,False,False,False,0.3672891194500621,0.20998611462862368,0.7491114595821763,20.434173687278186,11.566646228038481,4.68850825131809,7.607495732755955,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
SMCI,Information Technology,Technology Hardware,,False,True,False,0.3,0.22,0.2,,2.22,1.724,0.4,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
SNDK,,,,False,False,False,0.3271394352907019,0.32287413138476967,0.013210423169049865,16.734630466680198,6.829306149723443,5.510240165431324,0.2865532919247681,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
TEL,,,,False,False,False,0.22769137852936736,0.1597626867252887,0.42518496149781065,12.83921124798483,4.413025748066265,2.242230113497727,9.546817581843396,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
TER,,,,False,False,False,0.27166284540825547,0.26472453470228574,0.02620954915936556,40.57299568409662,14.756055765749915,10.462817835079456,1.5678956046081216,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
TPL,,,,False,False,False,0.3236783281682012,0.3204155771445295,0.010182872670388305,45.696541167062556,21.004926684315716,18.660239044241724,13.390999357170896,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
TROW,,,,False,False,False,0.19436609263657958,0.18677389730467114,0.040649124109263655,4.909016055023646,1.7708011479570662,1.325990860294732,7.623200931998492,True,False,False,"pb,mca",2,INCLUDE,INCLUDE_QUALITY,
TT,,,,False,False,False,0.34199631214556586,0.222739185933216,0.5354115204861474,25.648338190020482,12.532510457162779,4.51677635758639,5.215836990909428,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
TTD,,,,False,False,False,0.1763299240346185,0.15036976970596036,0.17264211004260877,12.521625302906662,3.948921716741999,1.6895666818131572,1.8348038517374505,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
TXN,,,,False,False,False,0.33609151996445824,0.18877694251224306,0.7803631920919643,29.063362455670486,15.039989732940947,7.547658857395564,5.183249682186003,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
UBER,,,,False,False,False,0.34503656417922507,0.2297551789077213,0.501757504747283,25.07059823786482,5.915746338584523,2.44503026845296,0.8755132138529619,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
ULTA,,,,False,False,False,0.4606418941825797,0.24345670780878398,0.892089555997683,13.264757184485596,8.952459084581102,3.3509895640611784,6.31950379626824,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
UNH,Health Care,Managed Health Care,,True,False,False,0.25,0.18,0.7,,3.64,1.27,0.85,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
V,,,,False,False,False,0.6422195690488374,0.3826817535063351,0.6782079708908977,20.50502228602232,16.620160837563617,6.181034125634983,16.00720145621288,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
VIG,Multi-Sector,ETF,defensive_etf,True,False,False,0.2,0.15,0.6,16.0,4.0,2.0,0.92,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
VRT,,,,False,False,False,0.36404910038674965,0.21393809135601177,0.7016562972927527,50.69497587387787,27.093858858163276,8.106568993176335,7.082262522954451,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
VRTX,,,,False,False,False,0.22406375407372212,0.20321429240598826,0.10259840201633104,20.803885640992473,5.85346856847352,4.279284147495411,5.398367259835734,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
WDC,,,,False,False,False,0.6700413223140496,0.5759701625077702,0.16332644628099174,12.36925759029087,9.749628473707467,6.272941417446878,1.3277660631575632,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
WSM,,,,False,False,False,0.5821658312849903,0.32364463240418534,0.7987810487088486,13.416096983950203,11.373309578853299,4.203114535879137,5.037285399513864,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
WST,,,,False,False,False,0.18891712928901078,0.17106259273839444,0.1043742893451943,28.567033981215538,8.443718275191982,6.193800016308278,17.2853402452341,True,False,False,"ev,pb,mca",3,INCLUDE,INCLUDE_QUALITY,
AFL,Financials,Insurance—Life,,True,False,False,0.16,0.12,0.4,8.5,1.5,0.15,0.85,False,True,False,roic,1,INCLUDE,INCLUDE_VALUE,
BAC,Financials,Banks,,True,False,False,0.1,0.08,1.1,9.0,1.2,0.103,0.75,False,True,False,"roe,roic,de",3,INCLUDE,INCLUDE_VALUE,
CAG,Consumer Staples,Packaged Foods,,True,False,False,0.1,0.07,0.9,8.5,1.1,0.352,0.65,False,True,False,"roe,roic",2,INCLUDE,INCLUDE_VALUE,
CHTR,,,,False,False,False,0.2904672015101463,0.04332142668613961,5.7049315714959885,5.299403059760852,1.000616619757742,0.10900058436770323,15.735056622094424,False,True,False,"roic,de",2,INCLUDE,INCLUDE_VALUE,
CMCSA,,,,False,False,False,0.1247730133796776,0.06217248423483435,1.0068847966311287,4.934646762916435,0.9549506211399973,0.33282818195206165,1.3220770201485288,False,True,False,"roe,roic,de",3,INCLUDE,INCLUDE_VALUE,
FISV,,,,False,False,False,0.12213274302507537,0.05764934784175254,1.1185450936987138,6.847897855872143,1.135665509406492,0.36941416313203923,5.5701861853499235,False,True,False,"roe,roic,de",3,INCLUDE,INCLUDE_VALUE,
HMC,Consumer Discretionary,Automobiles,,True,False,False,0.08,0.06,0.5,6.5,0.6,0.24,0.75,False,True,False,"roe,roic",2,INCLUDE,INCLUDE_VALUE,
NWS,,,,False,False,False,0.13245573159366264,0.09875792582298272,0.34121621621621623,3.870964004742821,0.5998475152886236,0.33185686202871517,0.9914417771424286,False,True,False,"roe,roic",2,INCLUDE,INCLUDE_VALUE,
