ticker,ret_21d,ret_63d,ret_126d,ret_252d,mom_12_1,resid_mom_63,beta_est,trail_ann_ret,trail_ann_vol,trail_sharpe,trail_n,ret_21d_z,ret_63d_z,ret_126d_z,mom_12_1_z,resid_mom_63_z,momentum_score,momentum_quintile
IVZ,0.09653373685996391,0.12980027042745412,0.09612518290009375,0.3982889161655041,0.25511150810117944,0.15234787533420077,1.660109118549192,0.707396575420015,1.1868269563982858,0.5623368864534318,252,0.7776473842006569,0.5318691067666897,-0.06718611476754374,-0.16034626522728204,1.0477964669679625,0.42595611558809665,5
CF,0.16281427870482013,-0.0009532349445058319,0.3280887085118427,0.5171290027516438,0.27910209740376346,0.07127945615727829,1.1772568284932552,0.7380385884930788,0.8127147797786118,0.8588973719454548,252,1.3158309558964303,-0.3424769432450199,0.7264577621525933,-0.1320149306846683,0.5000712228727208,0.41357361339841126,4
BAC,0.05774501193694315,0.18279366098019234,0.11466230320781046,0.2995789377312912,0.24322602573079433,0.12561807126820573,1.3165440896936942,0.3711054140186355,0.4765401308887965,0.6948111870475416,252,0.46269138143502386,0.8862348392547379,-0.0037629020484224738,-0.17438225129617987,0.8672010069194112,0.4075964148529141,4
KHC,0.05477804555566035,0.17662796926837698,0.07761436495340313,-0.03546622329703231,-0.09457528819547256,0.20983245128932576,0.5919738216531026,0.08924365103937504,0.5057455854060814,0.09736842487677975,252,0.43860026027434224,0.845004983286595,-0.13051933614978636,-0.5733037581033816,1.4361814104071366,0.40319271194298123,4
BMY,0.14918501397088968,0.1303589997036929,0.12565084714814967,0.39334053004051617,0.21483809658957287,0.06359763241176625,0.798559058170004,0.4440517866469803,0.4751933607054682,0.8502892086857619,252,1.2051642931032507,0.5356053181540295,0.03383348553673145,-0.20790655982099512,0.44817026280928635,0.4029733599564606,4
STM,-0.24971718810211474,-0.03754760846579075,0.8090692639383583,1.0213333856491817,1.6137667101795015,0.11348004193746489,1.572543910707744,1.157109612999101,0.9995853708505038,1.1175729913379993,252,-2.033834753879034,-0.5871827800022663,2.3720926598167207,1.4441376668951107,0.7851924375465944,0.3960810460754251,4
SCHW,0.08926710336945543,0.14046783999322132,0.004331965628945111,0.057148639681076085,0.01475053578959562,0.18877795358055952,1.4559475369780537,0.2729991191109308,0.7544104234487495,0.308849283982301,252,0.7186439020734285,0.603202929034172,-0.38124895994080654,-0.44419702986080956,1.293930210569759,0.3580662103751487,4
LLY,-0.030854061987144132,0.19323709301566683,0.04322022526643332,0.8062492906690175,0.8378931583034761,0.11543830199229774,0.7851192554183127,0.6524597717728141,0.35090319194394226,1.745381021984708,252,-0.2567138124002109,0.956069858383342,-0.2481960195529674,0.5278811763303696,0.7984230947794002,0.3554928595079867,4
MSFT,0.17388364613427454,0.09061460139447375,0.08911370010030817,-0.14764565333820467,-0.24989439199510666,0.13583639993879265,1.062191531096045,0.12889070185681673,0.767698416209412,0.11578857006859995,252,1.4057118098209667,0.2698353292508481,-0.09117531900775917,-0.7567255755129447,0.936239439174124,0.352777136745047,4
XLV,0.02494679173760539,0.1298280183763354,0.04800362463476415,0.24643647556523463,0.2284493490945294,0.20701414260812062,0.6507800453135981,0.3940822648148504,0.5961910890424901,0.5939073416604106,252,0.19637697300032686,0.5320546567405222,-0.23183001714147825,-0.1918325508252937,1.4171399781697576,0.34438180798876694,4
