roe,roic,debt_to_equity,debt_to_assets,equity_multiplier,pm_x_at,leverage_boost,leverage_share_of_roe,roe_quality,leverage_flag,dupont_identity,ticker,ev_ebitda,pb_ratio,mktcap_to_assets
0.4587645029789903,0.2474209369186538,0.8541862652869238,0.461,1.854,0.2474,0.2113,0.461,mixed,mixed-assets,ROE = PM × AT × EM,ADSK,22.514348084044943,15.691886010348071,4.19388405020114
0.4534351145038168,0.26553419758605273,0.7076335877862595,0.414,1.708,0.2655,0.1879,0.414,mixed,mixed-assets,ROE = PM × AT × EM,GWW,42.115792915914376,30.375558974426735,12.601704504327781
0.45269363425082976,0.3070001145713993,0.4745715482316096,0.322,1.475,0.307,0.1457,0.322,high_ops,cheap-assets,ROE = PM × AT × EM,NFLX,8.64110474666376,9.860201196922443,5.086450916941204
0.44584428594562653,0.404592048857897,0.10196007856352701,0.093,1.102,0.4046,0.0413,0.093,high_ops,cheap-assets,ROE = PM × AT × EM,FIX,34.11033416729882,21.680934557563234,8.21807174234153
0.44091234149634917,0.3658378322259136,0.20521253587593768,0.17,1.205,0.3658,0.0751,0.17,high_ops,cheap-assets,ROE = PM × AT × EM,DECK,8.913126018690667,5.8746154795528716,3.4951722348113745
0.43013125017652915,0.12118149384348625,2.5494796815433842,0.718,3.549,0.1212,0.3089,0.718,leverage_driven,levered-assets,ROE = PM × AT × EM,TSCO,15.239457745296699,9.374933711238528,2.020754092655218
0.4296600234466589,0.13029566866149198,2.297577178585385,0.697,3.298,0.1303,0.2994,0.697,leverage_driven,levered-assets,ROE = PM × AT × EM,RCL,14.547884758728754,8.296606086951973,1.9022502442890512
0.4214995695390154,0.1290542888295132,2.266064021288252,0.694,3.266,0.1291,0.2924,0.694,leverage_driven,levered-assets,ROE = PM × AT × EM,CDW,10.494082241412581,6.024958404040866,0.9357445090793409
0.407793290268806,0.15365891959798994,1.6538862262971452,0.623,2.654,0.1537,0.2541,0.623,leverage_driven,levered-assets,ROE = PM × AT × EM,AON,12.651795264608491,7.3306819880542164,1.3189098866167612
0.40039306771484723,0.08784790278322227,3.5577988207968554,0.781,4.558,0.0878,0.3125,0.781,leverage_driven,levered-assets,ROE = PM × AT × EM,VST,10.499737610758435,9.043729368379294,1.2253740988384552
0.4,0.14,2.5,0.714,3.5,0.1143,0.2857,0.714,leverage_driven,levered-assets,ROE = PM × AT × EM,SBUX,,-14.09,3.979
0.4,0.18,1.5,0.6,2.5,0.16,0.24,0.6,leverage_driven,levered-assets,ROE = PM × AT × EM,CAT,13.0,8.0,2.0
0.39192005103125666,0.2017115717131038,0.9429725706995534,0.485,1.943,0.2017,0.1902,0.485,mixed,mixed-assets,ROE = PM × AT × EM,GILD,12.871309680700541,7.310558878784948,3.0546180040980144
0.39041436072087415,0.17675591461749732,1.2087767844472825,0.547,2.209,0.1768,0.2137,0.547,leverage_driven,levered-assets,ROE = PM × AT × EM,BR,15.171373668687169,8.845678494300373,2.840144721584414
0.38927507447864945,0.1625038864130998,1.3954816285998013,0.583,2.395,0.1625,0.2268,0.583,leverage_driven,levered-assets,ROE = PM × AT × EM,CVNA,354.32487141257275,11.748543133213834,3.252001906307403
0.3891073869911926,0.25490794871781797,0.5264623521878983,0.345,1.526,0.2549,0.1342,0.345,mixed,mixed-assets,ROE = PM × AT × EM,CTAS,22.707879851002634,13.333568776640995,6.508892162005914
0.3813611047531853,0.24869396487387432,0.5334554055085069,0.348,1.533,0.2487,0.1327,0.348,mixed,mixed-assets,ROE = PM × AT × EM,DXCM,16.48941501311216,9.695295241833817,3.9371132165729197
0.3812843492380715,0.32420781800126386,0.17604921309018237,0.15,1.176,0.3242,0.0571,0.15,high_ops,cheap-assets,ROE = PM × AT × EM,GOOG,6.150422746451233,3.0490488942432425,2.1181028671731608
0.38,0.15,1.4,0.583,2.4,0.1583,0.2217,0.583,leverage_driven,levered-assets,ROE = PM × AT × EM,KO,,10.42,3.843
0.3726541554959786,0.08950418544752092,3.163538873994638,0.76,4.164,0.0895,0.2831,0.76,leverage_driven,levered-assets,ROE = PM × AT × EM,GEN,7.411241500658546,4.293804818534829,0.7191689256010289
0.37193418844611453,0.2089339463240206,0.7801520288584824,0.438,1.78,0.2089,0.163,0.438,mixed,mixed-assets,ROE = PM × AT × EM,ROL,24.450740181429726,14.0480219044574,5.986115358089697
0.37074278300356794,0.1585518102372035,1.3383068439831334,0.572,2.338,0.1586,0.2122,0.572,leverage_driven,levered-assets,ROE = PM × AT × EM,BBY,6.179695964056598,4.079748372694443,0.844718887375216
