ticker,sector,in_portfolio,defensive_value_index,growth_tech_index,growth_sleeve,roe,roic,debt_to_equity,interest_coverage,earnings_stability,ev_ebitda,pb_ratio,mktcap_to_assets,roe_score,roic_score,leverage_score,stability_score,coverage_score,buffett_roe,buffett_roic,buffett_leverage,buffett_pass,quality_score,ev_score,pb_score,mca_score,trifecta_ev,trifecta_pb,trifecta_mca,trifecta_pass,value_score,debt_to_assets,equity_multiplier,leverage_flag,leverage_score_adj,composite_score,w_current,suggested_w_max,sizing_action,decision
EME,,False,False,False,,0.3528293241302143,0.3114497704419223,0.13286108263806945,,5.923953243282914,16.796151950506946,8.969811086467143,3.6021197061585633,1.0,1.0,0.9335694586809653,5.923953243282914,0.5,True,True,True,True,1.678628405294582,0.4225072629254114,0.0,0.0,False,False,False,False,0.16900290517016459,0.117,1.133,,0.0,0.9993,0.0,0.12,prefer_add,INCLUDE_QUALITY
VRT,,False,False,False,,0.36404910038674965,0.21393809135601177,0.7016562972927527,27.69693094629156,7.082262522954451,50.69497587387787,27.093858858163276,8.106568993176335,1.0,0.8557523654240471,0.6491718513536237,7.082262522954451,1.0,True,True,True,True,1.8164408657734255,0.0,0.0,0.0,False,False,False,False,0.0,0.412,1.702,,0.0,0.999,0.0,0.12,prefer_add,INCLUDE_QUALITY
FISV,,False,False,False,,0.12213274302507537,0.05764934784175254,1.1185450936987138,3.4539600772698003,5.5701861853499235,6.847897855872143,1.135665509406492,0.36941416313203923,0.4885309721003015,0.23059739136701016,0.4407274531506431,5.5701861853499235,0.23026400515132,False,False,False,False,1.1404019553304103,1.0,1.0,1.0,True,True,True,True,1.0,0.528,2.119,levered-assets,-0.1,0.9772,0.0,0.12,prefer_add,INCLUDE_VALUE
INCY,,False,False,False,,0.2541416269743509,0.2526179384441742,0.006031592766375908,847.1776344086021,3.865038172755175,9.20405006176435,3.621732366102863,2.9186900683184303,1.0,1.0,0.9969842036168121,3.865038172755175,1.0,True,True,True,True,1.429303356455798,0.9848851806100481,0.05700783728761649,0.0,False,False,False,False,0.41105642343030424,0.006,1.006,,0.0,0.9711,0.0,0.12,prefer_add,INCLUDE_QUALITY
ROL,,False,False,False,,0.37193418844611453,0.2089339463240206,0.7801520288584824,21.788395193909114,6.703867071726846,24.450740181429726,14.0480219044574,5.986115358089697,1.0,0.8357357852960824,0.6099239855707588,6.703867071726846,1.0,True,True,True,True,1.7477893941834655,0.0,0.0,0.0,False,False,False,False,0.0,0.438,1.78,,0.0,0.9613,0.0,0.12,prefer_add,INCLUDE_QUALITY
CBOE,,False,False,False,,0.22985019075090724,0.17750535347293084,0.2948915976551596,33.80113636363637,5.58777675834757,15.109749177413226,5.462643501796378,2.6514836464963807,0.9194007630036289,0.7100214138917234,0.8525542011724202,5.58777675834757,1.0,True,True,True,True,1.5548762969966043,0.5474259868582796,0.0,0.0,False,False,False,False,0.21897039474331184,0.228,1.295,,0.0,0.9537,0.0,0.12,prefer_add,INCLUDE_QUALITY
WSM,,False,False,False,,0.5821658312849903,0.32364463240418534,0.7987810487088486,,5.037285399513864,13.416096983950203,11.373309578853299,4.203114535879137,1.0,1.0,0.6006094756455758,5.037285399513864,0.5,True,True,True,True,1.495684231273916,0.6728817048925776,0.0,0.0,False,False,False,False,0.26915268195703107,0.444,1.799,,0.0,0.9437,0.0,0.12,prefer_add,INCLUDE_QUALITY
NEM,,False,False,False,,0.2439349658088131,0.21049925320143972,0.15884005334392645,84.86792452830188,3.314960300540527,5.923672510238609,2.792465446165389,1.7073759948510057,0.9757398632352524,0.8419970128057589,0.9205799733280368,3.314960300540527,1.0,True,True,True,True,1.280652103892588,1.0,0.4255709128153826,0.0,True,False,False,False,0.5276712738446148,0.137,1.159,,0.0,0.9418,0.0,0.12,prefer_add,INCLUDE_QUALITY
RF,Financials,False,True,False,,0.15,0.15,0.2,8.0,0.72,7.5,1.1,0.12,0.6,0.6,0.9,0.72,0.5333333333333333,True,True,True,True,0.6563333333333333,1.0,1.0,1.0,True,True,True,True,1.0,0.167,1.2,cheap-assets,0.03,0.921,0.0,0.12,prefer_add,INCLUDE_CORE
MPWR,,False,False,False,,0.18516238330781717,0.18416239832659792,0.005429908549767363,,6.723307039367959,61.352711502824626,14.584842306816418,12.055756443891491,0.7406495332312687,0.7366495933063917,0.9972850457251163,6.723307039367959,0.5,True,True,True,True,1.6512785507252594,0.0,0.0,0.0,False,False,False,False,0.0,0.005,1.005,,0.0,0.9082,0.0,0.12,prefer_add,INCLUDE_QUALITY
NFLX,,False,False,False,,0.45269363425082976,0.3070001145713993,0.4745715482316096,20.461683330363645,3.2582950731962126,8.64110474666376,9.860201196922443,5.086450916941204,1.0,1.0,0.7627142258841952,3.2582950731962126,1.0,True,True,True,True,1.3031513948620612,1.0,0.0,0.0,True,False,False,False,0.4,0.322,1.475,,0.0,0.8967,0.0,0.12,prefer_add,INCLUDE_QUALITY
VRTX,,False,False,False,,0.22406375407372212,0.20321429240598826,0.10259840201633104,380.593984962406,5.398367259835734,20.803885640992473,5.85346856847352,4.279284147495411,0.8962550162948885,0.812857169623953,0.9487007989918345,5.398367259835734,1.0,True,True,True,True,1.5647938645997876,0.12563810066722425,0.0,0.0,False,False,False,False,0.050255240266889704,0.093,1.103,,0.0,0.8833,0.0,0.12,prefer_add,INCLUDE_QUALITY
GWW,,False,False,False,,0.4534351145038168,0.26553419758605273,0.7076335877862595,32.45679012345679,5.242370926751574,42.115792915914376,30.375558974426735,12.601704504327781,1.0,1.0,0.6461832061068702,5.242370926751574,1.0,True,True,True,True,1.5832831199287667,0.0,0.0,0.0,False,False,False,False,0.0,0.414,1.708,,0.0,0.8708,0.0,0.12,prefer_add,INCLUDE_QUALITY
TT,,False,False,False,,0.34199631214556586,0.222739185933216,0.5354115204861474,17.970895861755345,5.215836990909428,25.648338190020482,12.532510457162779,4.51677635758639,1.0,0.890956743732864,0.7322942397569263,5.215836990909428,1.0,True,True,True,True,1.5595067077198124,0.0,0.0,0.0,False,False,False,False,0.0,0.349,1.535,,0.0,0.8577,0.0,0.12,prefer_add,INCLUDE_QUALITY
FIX,,False,False,False,,0.44584428594562653,0.404592048857897,0.10196007856352701,250.2330439500814,4.677955504431647,34.11033416729882,21.680934557563234,8.21807174234153,1.0,1.0,0.9490199607182365,4.677955504431647,1.0,True,True,True,True,1.5440463197724825,0.0,0.0,0.0,False,False,False,False,0.0,0.093,1.102,,0.0,0.8492,0.0,0.12,prefer_add,INCLUDE_QUALITY
AFL,Financials,False,True,False,,0.16,0.12,0.4,12.0,0.85,8.5,1.5,0.15,0.64,0.48,0.8,0.85,0.8,True,False,True,False,0.6635,1.0,1.0,1.0,True,True,True,True,1.0,0.286,1.4,cheap-assets,0.03,0.8449,0.0,0.12,prefer_add,INCLUDE_VALUE
LULU,,False,False,False,,0.3024823229272375,0.20967264895227525,0.44264082339173916,,2.7449629414308516,6.061327820657926,3.0943101901656638,1.750220900311403,1.0,0.838690595809101,0.7786795883041304,2.7449629414308516,0.5,True,True,True,True,1.1301535582029778,1.0,0.291417693259705,0.0,True,False,False,False,0.4874253079779115,0.307,1.443,,0.0,0.8409,0.0,0.12,prefer_add,INCLUDE_QUALITY
NWS,,False,False,False,,0.13245573159366264,0.09875792582298272,0.34121621621621623,349.6666666666667,0.9914417771424286,3.870964004742821,0.5998475152886236,0.33185686202871517,0.5298229263746506,0.3950317032919309,0.8293918918918919,0.9914417771424286,1.0,False,False,True,False,0.6505814392551225,1.0,1.0,1.0,True,True,True,True,1.0,0.254,1.341,cheap-assets,0.03,0.8378,0.0,0.12,prefer_add,INCLUDE_VALUE
GOOG,,False,False,False,,0.3812843492380715,0.32420781800126386,0.17604921309018237,133.89031971580818,1.74592598709693,6.150422746451233,3.0490488942432425,2.1181028671731608,1.0,1.0,0.9119753934549089,1.74592598709693,1.0,True,True,True,True,1.098685207082776,1.0,0.31153382478078107,0.0,True,False,False,False,0.49346014743423433,0.15,1.176,,0.0,0.8263,0.0,0.12,prefer_add,INCLUDE_QUALITY
GILD,,False,False,False,,0.39192005103125666,0.2017115717131038,0.9429725706995534,11.674626865671641,3.776679108370393,12.871309680700541,7.310558878784948,3.0546180040980144,1.0,0.8068462868524152,0.5285137146502232,3.776679108370393,0.7783084577114427,True,True,True,True,1.2656636552799614,0.713236319948108,0.0,0.0,False,False,False,False,0.2852945279792432,0.485,1.943,,0.0,0.8245,0.0,0.12,prefer_add,INCLUDE_QUALITY
TXN,,False,False,False,,0.33609151996445824,0.18877694251224306,0.7803631920919643,13.24822695035461,5.183249682186003,29.063362455670486,15.039989732940947,7.547658857395564,1.0,0.7551077700489722,0.6098184039540179,5.183249682186003,0.8832151300236407,True,True,True,True,1.4838140569380587,0.0,0.0,0.0,False,False,False,False,0.0,0.438,1.78,,0.0,0.8161,0.0,0.12,prefer_add,INCLUDE_QUALITY
HPQ,Information Technology,False,True,True,quality_growth,0.2,0.15,0.8,8.0,0.7,7.0,1.4,0.6,0.8,0.6,0.6,0.7,0.5333333333333333,True,True,True,True,0.6683333333333333,1.0,1.0,0.8666666666666667,True,True,False,False,0.96,0.444,1.8,,0.0,0.7996,0.0,0.12,prefer_add,INCLUDE_QUALITY
HWM,,False,False,False,,0.3158275986961246,0.17084639498432602,0.848605577689243,14.561290322580644,4.988054853509769,37.099871879426495,16.691085464168857,7.053506844198395,1.0,0.6833855799373041,0.5756972111553784,4.988054853509769,0.970752688172043,True,True,True,True,1.4366537524981675,0.0,0.0,0.0,False,False,False,False,0.0,0.459,1.849,,0.0,0.7902,0.0,0.12,prefer_add,INCLUDE_QUALITY
DECK,,False,False,False,,0.44091234149634917,0.3658378322259136,0.20521253587593768,344.36473050758764,1.7043929498006152,8.913126018690667,5.8746154795528716,3.4951722348113745,1.0,1.0,0.8973937320620311,1.7043929498006152,1.0,True,True,True,True,1.090268002279397,1.0,0.0,0.0,True,False,False,False,0.4,0.17,1.205,,0.0,0.7796,0.0,0.12,prefer_add,INCLUDE_QUALITY
HMC,Consumer Discretionary,True,True,False,,0.08,0.06,0.5,20.0,0.75,6.5,0.6,0.24,0.32,0.24,0.75,0.75,1.0,False,False,True,False,0.493,1.0,1.0,1.0,True,True,True,True,1.0,0.333,1.5,cheap-assets,0.03,0.7511,0.1208,0.12,prefer_add,INCLUDE_VALUE
PTC,,False,False,False,,0.32290233383326344,0.23781336309907125,0.3577972643141368,24.12698482774859,1.643447828980566,9.801877073536923,4.263979875524988,2.517632891162698,1.0,0.951253452396285,0.8211013678429316,1.643447828980566,1.0,True,True,True,True,1.05505841524241,0.9406016982565242,0.0,0.0,False,False,False,False,0.3762406793026097,0.264,1.358,,0.0,0.7496,0.0,0.08,hold_or_add,INCLUDE_QUALITY
CINF,,False,False,False,,0.17544864452080947,0.1661043499216773,0.05625556828305969,65.79245283018868,1.2969826364565775,,1.528454929111219,0.5828089771190628,0.7017945780832379,0.6644173996867092,0.9718722158584702,1.2969826364565775,1.0,True,True,True,True,0.8501918211782412,0.0,0.9873533648394582,0.8895880305079163,False,False,False,False,0.5630824186042123,0.053,1.056,,0.0,0.721,0.0,0.08,hold_or_add,INCLUDE_QUALITY
META,,False,False,False,,0.260691138920684,0.18230492666093767,0.42997308792172145,44.15828402366864,2.109687145267992,11.92517758306834,4.755080140502025,2.7605516747906003,1.0,0.7292197066437507,0.7850134560391393,2.109687145267992,1.0,True,True,True,True,1.052971002189195,0.7833201790319748,0.0,0.0,False,False,False,False,0.31332807161278997,0.301,1.43,,0.0,0.7201,0.0,0.08,hold_or_add,INCLUDE_QUALITY
WDC,,False,False,False,,0.6700413223140496,0.5759701625077702,0.16332644628099174,32.13333333333333,1.3277660631575632,12.36925759029087,9.749628473707467,6.272941417446878,1.0,1.0,0.9183367768595041,1.3277660631575632,1.0,True,True,True,True,1.0369154260025601,0.7504253636821578,0.0,0.0,False,False,False,False,0.30017014547286314,0.14,1.163,,0.0,0.7054,0.0,0.08,hold_or_add,INCLUDE_QUALITY
ADSK,,False,False,False,,0.4587645029789903,0.2474209369186538,0.8541862652869238,1013.5,2.9986178312436285,22.514348084044943,15.691886010348071,4.19388405020114,1.0,0.9896837476746152,0.5729068673565381,2.9986178312436285,1.0,True,True,True,True,1.2326338290924097,0.0,0.0,0.0,False,False,False,False,0.0,0.461,1.854,,0.0,0.6779,0.0,0.08,hold,INCLUDE_QUALITY
