ticker,preferred,peer,cross,earnings,composite,rank
GNRC,0.10018214936247723,,,,0.5,74
HWM,0.6539162112932605,,,,0.5,74
IBKR,0.9253187613843351,,,,0.5,74
CMS,0.5555555555555556,,,,0.5,74
ICE,0.7668488160291439,,,,0.5,74
ALLE,0.8724954462659381,,,,0.5,74
GPC,0.058287795992714025,,,,0.5,74
GPN,0.2859744990892532,,,,0.5,74
GRMN,0.8087431693989071,,,,0.5,74
GS,0.6320582877959927,,,,0.5,74
GWW,0.7231329690346083,,,,0.5,74
HAL,0.5300546448087432,,,,0.5,74
HAS,0.2768670309653916,,,,0.5,74
ALGN,0.604735883424408,,,,0.5,74
HCA,0.970856102003643,,,,0.5,74
HD,0.6375227686703097,,,,0.5,74
HIG,0.802367941712204,,,,0.5,74
BR,0.6520947176684881,,,,0.5,74
BRK.B,0.5136612021857924,,,,0.5,74
BRO,0.7194899817850637,,,,0.5,74
BSX,0.44990892531876137,,,,0.5,74
ALB,0.06739526411657559,,,,0.5,74
BXP,0.22768670309653916,,,,0.5,74
AKAM,0.6338797814207651,,,,0.5,74
AJG,0.3788706739526412,,,,0.5,74
HOOD,0.4644808743169399,,,,0.5,74
HPE,0.4371584699453552,,,,0.5,74
HRL,0.45719489981785066,,,,0.5,74
HSIC,0.936247723132969,,,,0.5,74
HST,0.6010928961748634,,,,0.5,74
HSY,0.5081967213114754,,,,0.5,74
HUBB,0.8214936247723132,,,,0.5,74
HUM,0.151183970856102,,,,0.5,74
INVH,0.6775956284153005,,,,0.5,74
IP,0.1894353369763206,,,,0.5,74
AIZ,0.7932604735883424,,,,0.5,74
IQV,0.4899817850637523,,,,0.5,74
IR,0.10200364298724955,,,,0.5,74
IRM,0.060109289617486336,,,,0.5,74
ISRG,0.8888888888888888,,,,0.5,74
IT,0.5865209471766849,,,,0.5,74
ITW,0.9836065573770492,,,,0.5,74
BG,0.3442622950819672,,,,0.5,74
BIIB,0.2586520947176685,,,,0.5,74
BKNG,0.29326047358834245,,,,0.5,74
BKR,0.8187613843351548,,,,0.5,74
BLDR,0.1930783242258652,,,,0.5,74
AIG,0.44808743169398907,,,,0.5,74
BNY,0.9180327868852459,,,,0.5,74
JBHT,0.8233151183970856,,,,0.5,74
JBL,0.639344262295082,,,,0.5,74
JCI,0.37340619307832423,,,,0.5,74
JKHY,0.9435336976320583,,,,0.5,74
YUM,0.49544626593806923,,,,0.5,74
KDP,0.5336976320582878,,,,0.5,74
KEY,0.8943533697632058,,,,0.5,74
KEYS,0.5701275045537341,,,,0.5,74
KIM,0.9216757741347905,,,,0.5,74
KKR,0.2459016393442623,,,,0.5,74
KLAC,0.9963570127504554,,,,0.5,74
IDXX,0.9526411657559198,,,,0.5,74
IEX,0.9653916211293261,,,,0.5,74
IFF,0.30601092896174864,,,,0.5,74
INCY,0.7814207650273224,,,,0.5,74
INTU,0.4116575591985428,,,,0.5,74
ZBH,0.7413479052823315,,,,0.5,74
KMI,0.7468123861566485,,,,0.5,74
KR,0.2167577413479053,,,,0.5,74
KVUE,0.7777777777777778,,,,0.5,74
L,0.802367941712204,,,,0.5,74
LDOS,0.9581056466302368,,,,0.5,74
LEN,0.7213114754098361,,,,0.5,74
LH,0.7285974499089253,,,,0.5,74
LHX,0.6138433515482696,,,,0.5,74
LII,0.6029143897996357,,,,0.5,74
LIN,0.9198542805100182,,,,0.5,74
LITE,0.12021857923497267,,,,0.5,74
ZBRA,0.6102003642987249,,,,0.5,74
ZTS,0.9162112932604736,,,,0.5,74
LNT,0.6284153005464481,,,,0.5,74
J,0.0965391621129326,,,,0.5,74
MRNA,0.14207650273224043,,,,0.5,74
MRSH,0.6612021857923497,,,,0.5,74
LOW,0.47540983606557374,,,,0.5,74
LULU,0.692167577413479,,,,0.5,74
LUV,0.4972677595628415,,,,0.5,74
LVS,0.7449908925318761,,,,0.5,74
LYB,0.07650273224043716,,,,0.5,74
LYV,0.08196721311475409,,,,0.5,74
MA,0.9726775956284153,,,,0.5,74
MAA,0.43897996357012753,,,,0.5,74
MAR,0.5610200364298725,,,,0.5,74
MAS,0.575591985428051,,,,0.5,74
MCK,0.45901639344262296,,,,0.5,74
MCO,0.7650273224043715,,,,0.5,74
NDSN,0.8397085610200364,,,,0.5,74
NEM,0.7595628415300546,,,,0.5,74
NFLX,0.7358834244080146,,,,0.5,74
NI,0.4262295081967213,,,,0.5,74
MDLZ,0.6302367941712204,,,,0.5,74
MDT,0.8852459016393442,,,,0.5,74
MET,0.7704918032786885,,,,0.5,74
META,0.5846994535519126,,,,0.5,74
MGM,0.09289617486338798,,,,0.5,74
MLM,0.29508196721311475,,,,0.5,74
MNST,0.9016393442622951,,,,0.5,74
MPWR,0.7431693989071039,,,,0.5,74
BALL,0.7158469945355191,,,,0.5,74
BAX,0.11839708561020036,,,,0.5,74
BBY,0.6265938069216758,,,,0.5,74
BDX,0.19854280510018216,,,,0.5,74
BF.B,0.6848816029143898,,,,0.5,74
MRVL,0.14754098360655737,,,,0.5,74
MS,0.7085610200364298,,,,0.5,74
MSCI,0.73224043715847,,,,0.5,74
MSI,0.599271402550091,,,,0.5,74
MTB,0.8907103825136612,,,,0.5,74
MTD,0.51183970856102,,,,0.5,74
NCLH,0.2641165755919854,,,,0.5,74
NDAQ,0.9143897996357013,,,,0.5,74
NTAP,0.8142076502732241,,,,0.5,74
NTRS,0.5373406193078324,,,,0.5,74
NVR,0.8378870673952641,,,,0.5,74
NWS,0.6903460837887068,,,,0.5,74
NWSA,0.6557377049180327,,,,0.5,74
NXPI,0.5045537340619308,,,,0.5,74
ODFL,0.9635701275045537,,,,0.5,74
AVB,0.4207650273224044,,,,0.5,74
AVGO,0.5282331511839709,,,,0.5,74
AVY,0.9781420765027322,,,,0.5,74
AWK,0.663023679417122,,,,0.5,74
AXON,0.08561020036429873,,,,0.5,74
AXP,0.9326047358834244,,,,0.5,74
AZO,0.5774134790528234,,,,0.5,74
ORLY,0.8469945355191257,,,,0.5,74
OTIS,0.9289617486338798,,,,0.5,74
OXY,0.546448087431694,,,,0.5,74
PANW,0.10382513661202186,,,,0.5,74
PAYX,0.7395264116575592,,,,0.5,74
PCAR,0.7795992714025501,,,,0.5,74
PCG,0.75591985428051,,,,0.5,74
PEG,0.6703096539162113,,,,0.5,74
PFG,0.7049180327868853,,,,0.5,74
NOW,0.5956284153005464,,,,0.5,74
NRG,0.07285974499089254,,,,0.5,74
NSC,0.8287795992714025,,,,0.5,74
PKG,0.5573770491803278,,,,0.5,74
PNC,0.8688524590163934,,,,0.5,74
PNR,0.8506375227686703,,,,0.5,74
PNW,0.2495446265938069,,,,0.5,74
PODD,0.29690346083788705,,,,0.5,74
PPG,0.8269581056466302,,,,0.5,74
PPL,0.6120218579234973,,,,0.5,74
PRU,0.5,,,,0.5,74
PSA,0.7741347905282332,,,,0.5,74
PSKY,0.2058287795992714,,,,0.5,74
OKE,0.8342440801457195,,,,0.5,74
OMC,0.07103825136612021,,,,0.5,74
ON,0.12568306010928962,,,,0.5,74
SLB,0.8533697632058288,,,,0.5,74
PTC,0.6211293260473588,,,,0.5,74
PWR,0.3588342440801457,,,,0.5,74
Q,0.4098360655737705,,,,0.5,74
QCOM,0.41894353369763204,,,,0.5,74
RCL,0.5792349726775956,,,,0.5,74
REG,0.5264116575591985,,,,0.5,74
RJF,0.802367941712204,,,,0.5,74
RL,0.6247723132969034,,,,0.5,74
RMD,0.9872495446265938,,,,0.5,74
ROK,0.48451730418943534,,,,0.5,74
PGR,0.9471766848816029,,,,0.5,74
PH,0.9599271402550091,,,,0.5,74
PHM,0.8187613843351548,,,,0.5,74
APP,0.6156648451730419,,,,0.5,74
APTV,0.366120218579235,,,,0.5,74
ARE,0.17304189435336975,,,,0.5,74
ARES,0.22950819672131148,,,,0.5,74
ATO,0.4772313296903461,,,,0.5,74
ROL,0.7723132969034608,,,,0.5,74
ROP,0.8324225865209471,,,,0.5,74
ROST,0.8415300546448088,,,,0.5,74
RSG,0.9908925318761385,,,,0.5,74
RVTY,0.48816029143898,,,,0.5,74
SBAC,0.33697632058287796,,,,0.5,74
SHW,0.5519125683060109,,,,0.5,74
SJM,0.1384335154826958,,,,0.5,74
SNPS,0.10564663023679417,,,,0.5,74
SOLV,0.5919854280510018,,,,0.5,74
SPG,0.3296903460837887,,,,0.5,74
SPGI,0.9052823315118397,,,,0.5,74
SRE,0.34790528233151186,,,,0.5,74
STE,0.8306010928961749,,,,0.5,74
ANET,0.9234972677595629,,,,0.5,74
AON,0.4426229508196721,,,,0.5,74
AOS,0.9398907103825137,,,,0.5,74
APA,0.6648451730418944,,,,0.5,74
APD,0.0036429872495446266,,,,0.5,74
APH,0.6666666666666666,,,,0.5,74
APO,0.3697632058287796,,,,0.5,74
SW,0.47176684881602915,,,,0.5,74
SWK,0.5027322404371585,,,,0.5,74
SWKS,0.4517304189435337,,,,0.5,74
SYK,0.8360655737704918,,,,0.5,74
SYY,0.7486338797814208,,,,0.5,74
TAP,0.19672131147540983,,,,0.5,74
TDY,0.8561020036429873,,,,0.5,74
TECH,0.11475409836065574,,,,0.5,74
TEL,0.8998178506375227,,,,0.5,74
SNA,0.9981785063752276,,,,0.5,74
SNDK,0.40255009107468126,,,,0.5,74
TJX,0.7377049180327869,,,,0.5,74
TKO,0.2222222222222222,,,,0.5,74
TMO,0.848816029143898,,,,0.5,74
TMUS,0.7896174863387978,,,,0.5,74
TPL,0.9508196721311475,,,,0.5,74
TPR,0.16939890710382513,,,,0.5,74
TRGP,0.5591985428051002,,,,0.5,74
TRMB,0.42987249544626593,,,,0.5,74
TROW,0.8979963570127505,,,,0.5,74
TSCO,0.46994535519125685,,,,0.5,74
TSN,0.32604735883424407,,,,0.5,74
STT,0.6958105646630237,,,,0.5,74
STX,0.5664845173041895,,,,0.5,74
STZ,0.6466302367941712,,,,0.5,74
VRTX,0.7304189435336976,,,,0.5,74
TT,0.7122040072859745,,,,0.5,74
TTD,0.4808743169398907,,,,0.5,74
TTWO,0.009107468123861567,,,,0.5,74
TXN,0.6721311475409836,,,,0.5,74
TXT,0.994535519125683,,,,0.5,74
TYL,0.7896174863387978,,,,0.5,74
UAL,0.8615664845173042,,,,0.5,74
UBER,0.3005464480874317,,,,0.5,74
UDR,0.22586520947176686,,,,0.5,74
UHS,0.930783242258652,,,,0.5,74
ULTA,0.843351548269581,,,,0.5,74
UNP,0.9799635701275046,,,,0.5,74
UPS,0.6867030965391621,,,,0.5,74
TER,0.4444444444444444,,,,0.5,74
TFC,0.9344262295081968,,,,0.5,74
WELL,0.10746812386156648,,,,0.5,74
WFC,0.9380692167577414,,,,0.5,74
WMB,0.6939890710382514,,,,0.5,74
URI,0.8652094717668488,,,,0.5,74
USB,0.9562841530054644,,,,0.5,74
V,0.9672131147540983,,,,0.5,74
VEEV,0.8925318761384335,,,,0.5,74
VICI,0.785063752276867,,,,0.5,74
CTVA,0.14571948998178508,0.6866197183098591,0.1773049645390071,0.7112676056338029,0.4911,481
PLD,0.122040072859745,0.3732394366197183,0.6773049645390071,0.29225352112676056,0.4846,482
O,0.3205828779599271,0.36619718309859156,0.6773049645390071,0.29225352112676056,0.4809,483
AEP,0.20947176684881602,0.3028169014084507,0.6773049645390071,0.6901408450704225,0.4792,484
QQQ,0.030965391621129327,0.352112676056338,0.6773049645390071,0.29225352112676056,0.4734,485
DUK,0.24043715846994534,0.2535211267605634,0.6773049645390071,0.9366197183098591,0.4728,486
XLV,0.2568306010928962,0.7147887323943662,0.1773049645390071,0.29225352112676056,0.4724,487
BAYRY,0.23132969034608378,0.24295774647887325,0.6773049645390071,0.9788732394366197,0.4705,488
FANG,0.11293260473588343,0.6126760563380281,0.1773049645390071,0.9366197183098591,0.4699,489
DVY,0.4790528233151184,0.34507042253521125,0.6773049645390071,0.29225352112676056,0.4696,490
CB,0.3879781420765027,0.2323943661971831,0.6773049645390071,0.9366197183098591,0.4615,491
LXU,0.36065573770491804,0.3274647887323944,0.6773049645390071,0.29225352112676056,0.4603,492
HON,0.25318761384335153,0.21830985915492956,0.6773049645390071,1.0,0.4591,493
XBI,0.030965391621129327,0.6619718309859155,0.1773049645390071,0.29225352112676056,0.4443,494
XOM,0.5227686703096539,0.2887323943661972,0.6773049645390071,0.29225352112676056,0.4397,495
SPR,0.1657559198542805,0.40492957746478875,,0.29225352112676056,0.4327,496
MTSI,0.030965391621129327,0.2711267605633803,0.6773049645390071,0.29225352112676056,0.4303,497
KMB,0.1912568306010929,0.6267605633802817,0.1773049645390071,0.29225352112676056,0.4256,498
HMC,0.6229508196721312,0.20774647887323944,0.6773049645390071,0.5985915492957746,0.4212,499
ICL,0.39617486338797814,0.20774647887323944,0.6773049645390071,0.5880281690140845,0.4204,500
TRV,0.36429872495446264,0.5950704225352113,0.1773049645390071,0.29225352112676056,0.4087,501
VNQ,0.09107468123861566,0.5950704225352113,0.1773049645390071,0.29225352112676056,0.4087,501
SPCX,0.030965391621129327,0.5950704225352113,0.1773049645390071,0.29225352112676056,0.4087,501
