date,window,avg_corr,median_corr,p10_corr,p90_corr,dispersion
2021-09-24,20,0.33535506830400463,0.3475438469682833,-0.008893693048574956,0.6406960200635985,0.25111970285690116
2021-09-27,20,0.33811877756201547,0.35174793182727687,-0.0013388642674838395,0.6622839639423324,0.253417487756157
2021-09-28,20,0.2948969040803579,0.31960219903350356,-0.04061215976239512,0.6210032266486429,0.2540627934605408
2021-09-29,20,0.34447119270408694,0.351552945222517,-0.015373023075271195,0.6978806283017882,0.2650902538589575
2021-09-30,20,0.34392916023772097,0.35638865952816967,-0.009794928061723733,0.6995165205013656,0.26390345894343814
2021-10-01,20,0.3413295731983834,0.34517539378459994,-0.01675828142749446,0.7061926892710959,0.265915443892436
2021-10-04,20,0.33785768593984794,0.3576902482605525,-0.04754389012654502,0.6980715374648021,0.27432210089790227
2021-10-05,20,0.3479311993483274,0.3730302836340681,-0.038875429650628304,0.708552703632639,0.2784351133776628
2021-10-06,20,0.36905511757513726,0.3928462776545702,-0.031465053478691475,0.728196363026739,0.27763654654591713
2021-10-07,20,0.36622319169857964,0.38274516921054474,-0.008604825907057063,0.7239914409598441,0.26898545817818925
2021-10-08,20,0.3838523072173734,0.39577578408175984,0.042047982508705006,0.7331203280765661,0.25895821913834965
2021-10-11,20,0.3900153947995426,0.4079377894013104,0.03611698943433798,0.7443413267371157,0.26611670376946567
2021-10-12,20,0.3927217295898208,0.3968782147333525,0.054062004688519544,0.7516150487521044,0.26277459306664896
2021-10-13,20,0.38082689391522945,0.3868612297146552,0.03303448281969054,0.74267369494211,0.2627236859452302
2021-10-14,20,0.3665732026743922,0.3762845935308575,0.023107900505117615,0.7350811655699991,0.2699829403037264
2021-10-15,20,0.3920273020363506,0.4057540050767402,0.04798471580662537,0.7486775712558272,0.26560793051954007
2021-10-18,20,0.4016849404740978,0.4260641314958713,0.035197422069173166,0.7591825915469443,0.27025796358183946
2021-10-19,20,0.33694227914088604,0.34707678645772244,-0.046192004353498066,0.7405843100820043,0.29389957876201606
2021-10-20,20,0.3411147147379406,0.3532432175360076,-0.042734072560432074,0.7415401589715361,0.2904972101987975
