date,rv_5d,rv_10d,rv_21d,rv_42d,rv_63d,VIX_proxy,VIX3M_proxy,VIX9D_proxy,term_slope_21_63,term_slope_10_21,contango,backwardation,curve_convexity,source
2026-01-05,6.560210495961279,7.628125164232431,9.670424540452421,9.117479979964417,9.212330708367197,9.670424540452421,9.212330708367197,7.628125164232431,-0.4580938320852237,2.04229937621999,False,True,-1.2501966041526078,synthetic_rv_proxy
2026-01-06,4.108208257160453,7.9158215828949166,9.81178506477905,9.097620491739649,9.212842627107758,9.81178506477905,9.212842627107758,7.9158215828949166,-0.5989424376712922,1.8959634818841336,False,True,-1.2474529597777124,synthetic_rv_proxy
2026-01-07,5.945354475200206,8.048345384867053,10.018036833211132,9.209637626203433,9.31408396405792,10.018036833211132,9.31408396405792,8.048345384867053,-0.7039528691532126,1.9696914483440793,False,True,-1.336822158748646,synthetic_rv_proxy
2026-01-08,6.585247173939555,6.784907215019116,10.101541395152589,9.113457878992651,9.376135912996775,10.101541395152589,9.376135912996775,6.784907215019116,-0.7254054821558142,3.316634180133473,False,True,-2.0210198311446437,synthetic_rv_proxy
2026-01-09,8.556183782027924,7.654140718143918,10.282086177587205,9.168980744460585,9.411884717745767,10.282086177587205,9.411884717745767,7.654140718143918,-0.8702014598414376,2.6279454594432874,False,True,-1.7490734596423625,synthetic_rv_proxy
2026-01-12,8.552264477318372,7.652520158603717,10.288123260815798,9.16182286713003,9.41005514461062,10.288123260815798,9.41005514461062,7.652520158603717,-0.8780681162051778,2.635603102212081,False,True,-1.756835609208629,synthetic_rv_proxy
2026-01-13,9.49828204375799,6.924646812345231,10.564166659640495,9.267746350501627,9.309767532211302,10.564166659640495,9.309767532211302,6.924646812345231,-1.2543991274291937,3.639519847295264,False,True,-2.4469594873622285,synthetic_rv_proxy
2026-01-14,8.027856152315954,7.496905354945254,9.275683433378724,9.383987881050583,9.349091316555148,9.275683433378724,9.349091316555148,7.496905354945254,0.073407883176424,1.7787780784334704,True,False,-0.8526850976285232,synthetic_rv_proxy
2026-01-15,4.359285474602378,7.403732883417052,9.28909628227736,9.380910779578924,9.312319681999996,9.28909628227736,9.312319681999996,7.403732883417052,0.023223399722636984,1.8853633988603073,True,False,-0.9310699995688356,synthetic_rv_proxy
2026-01-16,10.829873551788184,9.332922488923737,9.498787943214351,9.73006178873236,9.576920130762346,9.498787943214351,9.576920130762346,9.332922488923737,0.078132187547995,0.16586545429061417,True,False,-0.04386663337131047,synthetic_rv_proxy
2026-01-19,11.122760710318534,9.36473845417684,8.64014788173802,9.65832557269273,9.451254705286102,8.64014788173802,9.451254705286102,9.36473845417684,0.8111068235480818,-0.7245905724388191,True,False,0.7678486979934505,synthetic_rv_proxy
2026-01-20,9.647767844897256,9.093979761543595,8.156580048019238,9.656133572067445,9.437536594685772,8.156580048019238,9.437536594685772,9.093979761543595,1.280956546666534,-0.937399713524357,True,False,1.1091781300954455,synthetic_rv_proxy
2026-01-21,7.148463775345687,8.496339918899364,8.105507976790364,9.527026798396827,9.422329181272888,8.105507976790364,9.422329181272888,8.496339918899364,1.3168212044825243,-0.39083194210900096,True,False,0.8538265732957626,synthetic_rv_proxy
2026-01-22,7.658011837056369,8.017864731143002,8.100392995562913,9.196410502010448,9.417352717278048,8.100392995562913,9.417352717278048,8.017864731143002,1.3169597217151345,0.08252826441991168,True,False,0.6172157286476114,synthetic_rv_proxy
2026-01-23,3.487086651130996,7.6295146264668965,7.759503690093637,8.773974200380138,9.269690740777854,7.759503690093637,9.269690740777854,7.6295146264668965,1.510187050684217,0.12998906362674045,True,False,0.6900989935287383,synthetic_rv_proxy
2026-01-26,4.808049154128816,8.103735700599088,7.631949603385809,8.754991807381314,9.321093976433142,7.631949603385809,9.321093976433142,8.103735700599088,1.6891443730473323,-0.471786097213279,True,False,1.0804652351303048,synthetic_rv_proxy
2026-01-27,5.706024325273669,7.477948983487326,7.722774787556415,8.832128513826145,9.322476920920687,7.722774787556415,9.322476920920687,7.477948983487326,1.5997021333642722,0.24482580406908916,True,False,0.6774381646475911,synthetic_rv_proxy
2026-01-28,7.9672449727006045,7.521902803678156,7.326003709223437,8.977847460036523,9.396861528653599,7.326003709223437,9.396861528653599,7.521902803678156,2.0708578194301612,-0.19589909445471854,True,False,1.1333784569424399,synthetic_rv_proxy
2026-01-29,7.654971280694976,7.409978115537262,7.2948319324744615,8.917396283408323,8.912888294950726,7.2948319324744615,8.912888294950726,7.409978115537262,1.6180563624762643,-0.11514618306280067,True,False,0.8666012727695334,synthetic_rv_proxy
2026-01-30,7.432573020422817,5.539654714687856,7.295342851461315,8.922308043498397,8.583588243605744,7.295342851461315,8.583588243605744,5.539654714687856,1.2882453921444297,1.7556881367734585,True,False,-0.2337213723145144,synthetic_rv_proxy
