t,p05,p25,p50,p75,p95,mean
29,0.7465050914783642,0.9647434218458973,1.1155025626434494,1.3748585801167115,1.9580416576655537,1.2084840654243807
30,0.7496914946960087,0.9651296589860274,1.1186318564922546,1.3811269492845157,1.999063837711333,1.2178091940557612
31,0.7439787469990814,0.9646001304107835,1.123308181374013,1.3987822126510958,2.017757029937853,1.225459159174565
32,0.7428807649101405,0.969564629777231,1.1327932972369106,1.40831052616521,2.072512903411753,1.2340962518791883
33,0.7384330677487492,0.9652602068533768,1.1357317576987978,1.41919599620879,2.0943312904651616,1.2426658399158275
34,0.7476645530919345,0.9681889302010842,1.1388970940359542,1.429570419550826,2.1505659529772574,1.2519235070367123
35,0.7491466812826422,0.9711965693774363,1.1395032691305456,1.4450717273312121,2.1527015449014897,1.2597408066107416
36,0.7322684882911243,0.9713537554430378,1.1512871472194786,1.451467114426939,2.1835751247947037,1.268777228629361
37,0.7360638668855732,0.9706847286626576,1.1524652186830142,1.4613753720624125,2.2473351544232845,1.2774469231142207
38,0.7328858987286149,0.9753327706829249,1.156963980478034,1.4738840405053473,2.2858634514193694,1.2853253223341317
39,0.7273767069552625,0.9697270026993866,1.1645050265959132,1.4908196980695156,2.3068774677708004,1.294922353206373
40,0.720079925147978,0.9733814320278458,1.1751881806241795,1.4852337631534265,2.3736744983747715,1.3033222029449913
41,0.7220994472158407,0.9786198480007904,1.1700191375251263,1.4998876652644244,2.3997449583269534,1.3108820820014904
42,0.7222187344337697,0.9771950070112954,1.1754572309625684,1.5069416573088457,2.4326336505208404,1.3191802471823015
43,0.7184785736486196,0.975807485698989,1.1762675673434153,1.5247489477834004,2.4659023692039312,1.3286687275431777
44,0.7105682077639529,0.9767301606389838,1.180464088390019,1.5372149126239996,2.5085641866949024,1.339603866064307
45,0.7146325189074575,0.9754837181491074,1.1828415224296198,1.554293015344766,2.546337213381037,1.349937714994988
46,0.71414457840002,0.9745222921019525,1.1881631363698548,1.5482708109532917,2.5601827457130057,1.358784855883758
47,0.71895480583477,0.9774563090824633,1.1883206776208715,1.577763908730649,2.5957098726583965,1.368657847598102
48,0.7075602377669936,0.9704445066983172,1.1992738141071213,1.5836420852108113,2.6403298478890713,1.3783161744520258
49,0.7017731574042139,0.9812015566324627,1.2085261397542382,1.5926221025923244,2.6318702264400473,1.3852054845264663
50,0.7021820402180251,0.9839441816231037,1.207986103485875,1.6028957920454374,2.703132050819712,1.394366466901037
51,0.6997660694771528,0.9821580594156132,1.2204710079329304,1.615276687009363,2.760921104366856,1.4049779370444795
52,0.7005664741710685,0.9824762212165219,1.2183377623199005,1.623571402797407,2.8063643297799836,1.4128077762138884
53,0.7049484511686381,0.9887055002215052,1.2356775464540903,1.6323291982006807,2.77940553594962,1.4210434783306678
54,0.7051293273384364,0.990182125609205,1.2426673679053184,1.658597290459645,2.82022606344106,1.4297662825858064
55,0.6976728576519734,0.9922306126678035,1.2404770710752915,1.6734550401286148,2.852578984567398,1.4392990172466202
56,0.7122877981001937,0.9940317652605379,1.2445081798305955,1.671461715401966,2.8866285338503803,1.4464236515268576
57,0.7165625308028305,1.002961710848328,1.249150008328442,1.6877328869966512,2.884911937527857,1.4537101253714175
58,0.7142535333673948,1.000124975167005,1.2669244487797404,1.702563101713659,2.8715484050162505,1.4625110230169973
59,0.7214841631770474,0.9994817762892392,1.2608423406915223,1.7121323916452325,2.9852454969362365,1.473640282635931
60,0.7202975706278646,0.9967768847643147,1.278915062444973,1.7143048746139955,3.0078871220580403,1.4822514917276148
61,0.7142369462001643,1.0077175815726223,1.2818412523907012,1.7305975698679177,2.984735205018842,1.4896016438785082
62,0.7115588908907235,1.0162329126306084,1.2924758558616545,1.7413525847213078,3.0248523715588367,1.5006717173387678
63,0.6789235449815733,1.0138393476718057,1.2714182631497537,1.7443436144907865,2.9866402007358,1.489835076092674
