asset_a,asset_b,corr_calm,corr_crisis,delta
ASIX,CPB,0.02201094494909644,0.8956300174341635,0.8736190724850671
AEP,UNH,0.09234828937577311,0.96592566079379,0.873577371418017
AEP,WM,0.07179319644281965,0.9451988418397101,0.8734056453968905
IBM,VLO,0.07711152308148739,0.9503046346492716,0.8731931115677842
MMM,WM,0.08584563869455124,0.9589950081129397,0.8731493694183885
BLK,DUK,0.09970767973485715,0.9727715721517552,0.8730638924168981
DG,MTSI,0.053399562903949475,0.9262836198031298,0.8728840568991804
HII,PLTR,0.06203215540010638,0.9348445879679909,0.8728124325678844
DUK,WM,0.07621292582071476,0.948967774581668,0.8727548487609533
COST,GD,0.11782417746805943,0.9905661594930447,0.8727419820249853
ABBV,DE,0.11204336120749463,0.9845960034904314,0.8725526422829368
CW,MRK,0.07303780699392842,0.9455277295240643,0.8724899225301359
HII,PEP,0.1170236502549193,0.9894122534778662,0.8723886032229469
DE,LLY,0.11531492381516849,0.9876625864774783,0.8723476626623098
SO,TDG,0.0926528340126997,0.9649832839492843,0.8723304499365846
ABBV,HEI,0.1120867700072764,0.9843105516211867,0.8722237816139103
IBM,UNH,0.09739014132580985,0.9694624039717273,0.8720722626459175
ABBV,NUE,0.10206523227282004,0.9739869266337289,0.8719216943609088
DG,HEI,0.08609120362004785,0.9576579973772631,0.8715667937572152
GOOGL,TRV,0.06920711023151131,0.9404345418313041,0.8712274315997929
COST,NOC,0.11631322629081749,0.9873827680616822,0.8710695417708647
BLK,PG,0.10484080028900179,0.9758569834525769,0.8710161831635751
PM,UAN,0.02386851433058796,0.894554546270592,0.870686031940004
DUK,LRCX,0.01809500854095864,0.8887378935220559,0.8706428849810972
BA,REGN,0.08204894208274385,0.9525475251441311,0.8704985830613873
HON,REGN,0.08485914168364686,0.9551831431708259,0.870324001487179
MPC,ORCL,0.09565754515966653,0.9659390409209064,0.8702814957612399
HEI,TRV,0.10047354036928133,0.9706208456181664,0.8701473052488851
FANG,GOOGL,0.07866424363378643,0.9488050703488955,0.8701408267151091
CW,WM,0.08625003242558744,0.9562361409936101,0.8699861085680226
O,RKLB,0.05894663340571649,0.9288822289580223,0.8699355955523058
DG,PSX,0.040641609839124175,0.9104545042135253,0.8698128943744011
ALL,HEI,0.10567250375956298,0.9753936164593437,0.8697211126997808
JNJ,UAN,0.02050146056122614,0.8898183590527542,0.869316898491528
LMT,WM,0.09022836393011258,0.9594228947725459,0.8691945308424334
ABBV,STLD,0.08647208033660629,0.9556515388929046,0.8691794585562983
MMM,PLTR,0.06666687316889447,0.9353428720773552,0.8686759989084607
BLK,NOC,0.12233456924721503,0.9909369993926517,0.8686024301454367
JNJ,PSX,0.10085503022783718,0.9693330618598552,0.8684780316320181
COST,MTSI,0.1082236061878928,0.9762848687002993,0.8680612625124065
BLK,PEP,0.11623732454825485,0.9841297459946924,0.8678924214464375
MRK,TDG,0.09391662815591553,0.9615577203755743,0.8676410922196588
ARKK,DUK,-0.08770554727853665,0.7798876268776896,0.8675931741562263
CAT,DUK,0.10658983251040793,0.9739648386692369,0.867375006158829
ALL,GOOGL,0.07341481451145225,0.9407622692728276,0.8673474547613753
HEI,KMB,0.06886716093971978,0.9361398033312893,0.8672726423915695
DG,LMT,0.09632090939173978,0.9633670562721964,0.8670461468804567
RKLB,UAN,0.01243756909175482,0.8794349697579567,0.8669974006662018
NUE,WM,0.06872350506874347,0.935515322145143,0.8667918170763995
JNJ,MU,0.056298795135431075,0.9229525583739594,0.8666537632385283
TRV,WM,0.09896338457489307,0.9653498375687278,0.8663864529938348
GD,MTSI,0.10569347800725301,0.9719604859303006,0.8662670079230476
MRK,VLO,0.0668692391724492,0.9330409209188801,0.8661716817464309
