asset_a,asset_b,corr_calm,corr_crisis,delta
CVX,REGN,0.05057592774618023,0.9540600527674996,0.9034841250213194
AEP,REGN,0.058812502561848265,0.962155831082804,0.9033433285209558
PEP,UAN,-0.008189095943610844,0.8950776573879655,0.9032667533315764
FANG,WM,0.044612382834883106,0.9474831439772524,0.9028707611423693
PEP,REGN,0.06537447457664679,0.9678758866061051,0.9025014120294583
KMB,WM,0.0584040157354643,0.9600765830633217,0.9016725673278574
DUK,QQQ,0.07626167145634515,0.9779151954701264,0.9016535240137813
HEI,REGN,0.06756612539094495,0.9691309929415057,0.9015648675505608
CPB,ICL,0.024020912326925443,0.925584218328551,0.9015633060016255
GOOGL,LMT,0.0487086515526632,0.9502244757533824,0.9015158242007192
KMB,PSX,0.040070243182360264,0.9412308806474943,0.901160637465134
DUK,HEI,0.06288816679877583,0.9639078233514956,0.9010196565527198
UNH,VLO,0.05030188068385005,0.9512381257236114,0.9009362450397613
RKLB,WM,-0.025235701155882962,0.8755423749164246,0.9007780760723075
MCD,VLO,0.057605740301454246,0.9583783773330203,0.9007726370315661
CRWD,WM,0.028100271564108163,0.9287399207803071,0.9006396492161989
DUK,MU,0.016386314440599587,0.9169991397332833,0.9006128252926837
ABBV,BA,0.07736767946803158,0.9778643198309548,0.9004966403629232
CRWD,O,-0.0006931019913344795,0.8997631546069396,0.900456256598274
CRWD,MO,-0.07720403484988864,0.8228414589074261,0.9000454937573148
KMB,REGN,0.041609861339431245,0.9414666359294004,0.8998567745899692
MMM,REGN,0.07004044582234907,0.9690739434889305,0.8990334976665815
COST,HEI,0.08396324933982667,0.9828033813731789,0.8988401320333522
KMB,UAN,-0.03070959729863796,0.8678840510697321,0.8985936483683701
COST,WM,0.06176844821052578,0.9598269219212082,0.8980584737106825
JPM,WM,0.061727904717237964,0.9592308420353447,0.8975029373181067
DUK,GOOGL,0.05649559857901276,0.9539166740689172,0.8974210754899045
NOC,UNH,0.07823511981027494,0.9753965343138159,0.8971614145035409
MPC,RKLB,0.02360481519975039,0.9202535652968263,0.8966487500970759
