date,equity,cash,drawdown,n_holdings,kill_switch,ann_ret,sharpe
2025-04-15,100234.52,81227.1,-0.0234,152,,1.7324928744782415,1.800952159768954
2025-04-16,99964.78,81207.93,-0.0261,152,,1.7324928744782415,1.800952159768954
2025-04-17,100030.93,80924.18,-0.0254,152,,1.7324928744782415,1.800952159768954
2025-04-21,99623.42,81068.86,-0.0294,152,,1.7324928744782415,1.800952159768954
2025-04-22,100091.17,80571.39,-0.0248,152,,1.7324928744782415,1.800952159768954
2025-04-23,100349.89,81002.96,-0.0223,152,,1.7324928744782415,1.800952159768954
2025-04-24,100739.76,81169.43,-0.0185,152,,1.7324928744782415,1.800952159768954
2025-04-25,100735.71,81558.11,-0.0186,152,,1.7324928744782415,1.800952159768954
2025-04-28,100786.0,81549.02,-0.0181,152,,1.7324928744782415,1.800952159768954
2025-04-29,100882.75,81584.01,-0.0171,152,,1.7324928744782415,1.800952159768954
2025-04-30,100925.44,81671.75,-0.0167,152,,1.7324928744782415,1.800952159768954
2025-05-01,100906.72,81718.82,-0.0169,152,,1.7324928744782415,1.800952159768954
2025-05-02,101323.18,81621.02,-0.0128,152,,1.7324928744782415,1.800952159768954
2025-05-05,101279.3,82046.94,-0.0133,152,,1.7324928744782415,1.800952159768954
2025-05-06,101105.52,82035.22,-0.015,152,,1.7324928744782415,1.800952159768954
2025-05-07,101274.39,81828.33,-0.0133,152,,1.7324928744782415,1.800952159768954
2025-05-08,101490.5,81957.58,-0.0112,152,,1.7324928744782415,1.800952159768954
2025-05-09,101437.48,82179.91,-0.0117,152,,1.7324928744782415,1.800952159768954
2025-05-12,102077.03,82007.37,-0.0055,152,,1.7324928744782415,1.800952159768954
2025-05-13,102117.98,82645.07,-0.0051,152,,1.7324928744782415,1.800952159768954
2025-05-14,101949.38,82703.58,-0.0067,152,,1.7324928744782415,1.800952159768954
2025-05-15,102098.72,82513.96,-0.0053,152,,1.7324928744782415,1.800952159768954
2025-05-16,102314.72,82625.88,-0.0032,152,,1.7324928744782415,1.800952159768954
2025-05-19,102342.66,82833.86,-0.0029,152,,1.7324928744782415,1.800952159768954
2025-05-20,102314.71,82865.77,-0.0032,152,,1.7324928744782415,1.800952159768954
2025-05-21,101889.68,82920.48,-0.0073,152,,1.7324928744782415,1.800952159768954
2025-05-22,101866.52,82500.66,-0.0075,152,,1.7324928744782415,1.800952159768954
2025-05-23,101773.87,82494.16,-0.0084,152,,1.7324928744782415,1.800952159768954
2025-05-27,102187.35,82322.91,-0.0044,152,,1.7324928744782415,1.800952159768954
2025-05-28,102047.88,82766.99,-0.0058,152,,1.7324928744782415,1.800952159768954
2025-05-29,102118.56,82613.3,-0.0051,152,,1.7324928744782415,1.800952159768954
2025-05-30,102100.64,82684.49,-0.0053,152,,1.7324928744782415,1.800952159768954
2025-06-02,102118.56,82663.28,-0.0051,152,,1.7324928744782415,1.800952159768954
2025-06-03,102295.53,82646.48,-0.0034,152,,1.7324928744782415,1.800952159768954
2025-06-04,102263.88,82830.39,-0.0037,152,,1.7324928744782415,1.800952159768954
2025-06-05,102248.48,82801.35,-0.0038,152,,1.7324928744782415,1.800952159768954
2025-06-06,102489.39,82741.27,-0.0015,152,,1.7324928744782415,1.800952159768954
2025-06-09,102494.46,82981.69,-0.0014,152,,1.7324928744782415,1.800952159768954
2025-06-10,102572.94,82969.76,-0.0007,152,,1.7324928744782415,1.800952159768954
2025-06-11,102489.39,83063.11,-0.0015,152,,1.7324928744782415,1.800952159768954
2025-06-12,102539.14,82972.25,-0.001,152,,1.7324928744782415,1.800952159768954
2025-06-13,102295.09,83067.78,-0.0034,152,,1.7324928744782415,1.800952159768954
2025-06-16,102551.86,82775.17,-0.0009,152,,1.7324928744782415,1.800952159768954
2025-06-17,102355.46,83075.01,-0.0028,152,,1.7324928744782415,1.800952159768954
2025-06-18,102363.36,82875.01,-0.0027,152,,1.7324928744782415,1.800952159768954
2025-06-20,102394.08,82873.33,-0.0024,152,,1.7324928744782415,1.800952159768954
2025-06-23,102530.93,82877.64,-0.0011,152,,1.7324928744782415,1.800952159768954
2025-06-24,102748.4,82972.87,0.001,152,,1.7324928744782415,1.800952159768954
2025-06-25,102602.57,83217.52,-0.0014,152,,1.7324928744782415,1.800952159768954
2025-06-26,102752.51,83045.25,0.0,152,,1.7324928744782415,1.800952159768954
2025-06-27,102839.99,83178.7,0.0009,152,,1.7324928744782415,1.800952159768954
2025-06-30,102939.07,83245.61,0.001,152,,1.7324928744782415,1.800952159768954
2025-07-01,103150.58,83304.7,0.0021,152,,1.7324928744782415,1.800952159768954
2025-07-02,103198.95,83507.84,0.0005,152,,1.7324928744782415,1.800952159768954
2025-07-03,103325.21,83531.21,0.0012,152,,1.7324928744782415,1.800952159768954
2025-07-07,103133.37,83693.9,-0.0019,152,,1.7324928744782415,1.800952159768954
2025-07-08,103180.49,83494.68,-0.0014,152,,1.7324928744782415,1.800952159768954
2025-07-09,103239.91,83530.51,-0.0008,152,,1.7324928744782415,1.800952159768954
2025-07-10,103403.23,83557.55,0.0008,152,,1.7324928744782415,1.800952159768954
2025-07-11,103239.39,83752.04,-0.0016,152,,1.7324928744782415,1.800952159768954
2025-07-14,103279.74,83582.91,-0.0012,152,,1.7324928744782415,1.800952159768954
2025-07-15,103001.17,83674.61,-0.0039,152,,1.7324928744782415,1.800952159768954
2025-07-16,103053.14,83386.93,-0.0034,152,,1.7324928744782415,1.800952159768954
2025-07-17,103211.35,83409.39,-0.0019,152,,1.7324928744782415,1.800952159768954
2025-07-18,103234.31,83560.64,-0.0016,152,,1.7324928744782415,1.800952159768954
2025-07-21,103154.57,83598.68,-0.0024,152,,1.7324928744782415,1.800952159768954
2025-07-22,103383.52,83475.56,-0.0002,152,,1.7324928744782415,1.800952159768954
2025-07-23,103651.57,83655.88,0.0024,152,,1.7324928744782415,1.800952159768954
2025-07-24,103598.83,83928.49,-0.0005,152,,1.7324928744782415,1.800952159768954
2025-07-25,103707.36,83859.16,0.0005,152,,1.7324928744782415,1.800952159768954
2025-07-28,103610.07,83988.79,-0.0009,152,,1.7324928744782415,1.800952159768954
2025-07-29,103538.8,83902.34,-0.0016,152,,1.7324928744782415,1.800952159768954
2025-07-30,103401.93,83856.51,-0.0029,152,,1.7324928744782415,1.800952159768954
2025-07-31,103228.6,83752.44,-0.0046,152,,1.7324928744782415,1.800952159768954
2025-08-01,102994.41,83623.06,-0.0069,152,,1.7324928744782415,1.800952159768954
2025-08-04,103263.05,83338.51,-0.0043,152,,1.7324928744782415,1.800952159768954
2025-08-05,103213.53,83620.98,-0.0048,152,,1.7324928744782415,1.800952159768954
2025-08-06,103208.66,83569.56,-0.0048,152,,1.7324928744782415,1.800952159768954
2025-08-07,103122.62,83580.68,-0.0056,152,,1.7324928744782415,1.800952159768954
2025-08-08,103303.71,83461.45,-0.0039,152,,1.7324928744782415,1.800952159768954
2025-08-11,103230.65,83653.84,-0.0046,152,,1.7324928744782415,1.800952159768954
2025-08-12,103574.82,83516.32,-0.0013,152,,1.7324928744782415,1.800952159768954
2025-08-13,103830.22,83813.48,0.0012,152,,1.7324928744782415,1.800952159768954
2025-08-14,103706.05,84086.43,-0.0012,152,,1.7324928744782415,1.800952159768954
2025-08-15,103692.69,83970.45,-0.0013,152,,1.7324928744782415,1.800952159768954
2025-08-18,103741.73,83945.88,-0.0009,152,,1.7324928744782415,1.800952159768954
2025-08-19,103800.96,83982.86,-0.0003,152,,1.7324928744782415,1.800952159768954
2025-08-20,103777.76,84048.43,-0.0005,152,,1.7324928744782415,1.800952159768954
2025-08-21,103712.03,84035.92,-0.0011,152,,1.7324928744782415,1.800952159768954
2025-08-22,104097.94,83897.45,0.0026,152,,1.7324928744782415,1.800952159768954
2025-08-25,103926.48,84319.57,-0.0016,152,,1.7324928744782415,1.800952159768954
2025-08-26,103976.95,84138.0,-0.0012,152,,1.7324928744782415,1.800952159768954
2025-08-27,104043.91,84172.82,-0.0005,152,,1.7324928744782415,1.800952159768954
2025-08-28,104065.08,84236.6,-0.0003,152,,1.7324928744782415,1.800952159768954
2025-08-29,104038.83,84261.52,-0.0006,152,,1.7324928744782415,1.800952159768954
2025-09-01,88949.38,87109.17,-0.1455,152,,1.7324928744782415,1.800952159768954
2025-09-02,103931.94,84191.79,-0.0016,152,,1.7324928744782415,1.800952159768954
2025-09-03,120373.43,97518.42,0.1563,152,,1.7324928744782415,1.800952159768954
2025-09-04,120701.83,97493.83,0.0027,152,,1.7324928744782415,1.800952159768954
2025-09-05,120709.36,97723.08,0.0001,152,,1.7324928744782415,1.800952159768954
2025-09-08,120733.2,97724.95,0.0002,152,,1.7324928744782415,1.800952159768954
2025-09-09,120711.45,97755.46,-0.0002,152,,1.7324928744782415,1.800952159768954
2025-09-10,120656.56,97745.28,-0.0006,152,,1.7324928744782415,1.800952159768954
2025-09-11,121024.56,97619.22,0.0024,152,,1.7324928744782415,1.800952159768954
2025-09-12,120828.14,98025.99,-0.0016,152,,1.7324928744782415,1.800952159768954
2025-09-15,120805.6,97835.82,-0.0018,152,,1.7324928744782415,1.800952159768954
2025-09-16,120773.04,97816.04,-0.0021,152,,1.7324928744782415,1.800952159768954
2025-09-17,120880.23,97763.44,-0.0012,152,,1.7324928744782415,1.800952159768954
2025-09-18,121043.08,97840.64,0.0002,152,,1.7324928744782415,1.800952159768954
2025-09-19,120982.55,98014.33,-0.0005,152,,1.7324928744782415,1.800952159768954
2025-09-22,121012.73,97947.76,-0.0003,152,,1.7324928744782415,1.800952159768954
2025-09-23,121035.19,97974.42,-0.0001,152,,1.7324928744782415,1.800952159768954
2025-09-24,120957.94,98012.18,-0.0007,152,,1.7324928744782415,1.800952159768954
2025-09-25,120721.94,97979.3,-0.0027,152,,1.7324928744782415,1.800952159768954
2025-09-26,120906.7,97706.48,-0.0011,152,,1.7324928744782415,1.800952159768954
2025-09-29,121022.27,97873.15,-0.0002,152,,1.7324928744782415,1.800952159768954
2025-09-30,121149.4,97961.01,0.0009,152,,1.7324928744782415,1.800952159768954
2025-10-01,121305.52,98058.26,0.0013,152,,1.7324928744782415,1.800952159768954
2025-10-02,121372.8,98195.08,0.0006,152,,1.7324928744782415,1.800952159768954
2025-10-03,121464.97,98253.03,0.0008,152,,1.7324928744782415,1.800952159768954
2025-10-06,121425.75,98351.0,-0.0003,152,,1.7324928744782415,1.800952159768954
2025-10-07,121347.71,98329.47,-0.001,152,,1.7324928744782415,1.800952159768954
2025-10-08,121494.05,98220.04,0.0002,152,,1.7324928744782415,1.800952159768954
2025-10-09,121347.68,98396.47,-0.0012,152,,1.7324928744782415,1.800952159768954
2025-10-10,120750.2,98365.17,-0.0061,152,,1.7324928744782415,1.800952159768954
2025-10-13,121042.82,97709.05,-0.0037,152,,1.7324928744782415,1.800952159768954
2025-10-14,121267.8,97975.82,-0.0019,152,,1.7324928744782415,1.800952159768954
2025-10-15,121338.11,98171.75,-0.0013,152,,1.7324928744782415,1.800952159768954
2025-10-16,121033.98,98302.83,-0.0038,152,,1.7324928744782415,1.800952159768954
2025-10-17,121144.13,97972.58,-0.0029,152,,1.7324928744782415,1.800952159768954
2025-10-20,121382.85,98043.88,-0.0009,152,,1.7324928744782415,1.800952159768954
2025-10-21,121501.48,98255.47,0.0001,152,,1.7324928744782415,1.800952159768954
2025-10-22,121370.99,98397.33,-0.0011,152,,1.7324928744782415,1.800952159768954
2025-10-23,121537.59,98237.92,0.0003,152,,1.7324928744782415,1.800952159768954
2025-10-24,121670.55,98380.51,0.0011,152,,1.7324928744782415,1.800952159768954
2025-10-27,121743.87,98491.85,0.0006,152,,1.7324928744782415,1.800952159768954
2025-10-28,121535.85,98610.82,-0.0017,152,,1.7324928744782415,1.800952159768954
2025-10-29,121387.7,98429.36,-0.0029,152,,1.7324928744782415,1.800952159768954
2025-10-30,121231.25,98309.54,-0.0042,152,,1.7324928744782415,1.800952159768954
2025-10-31,121302.67,98141.69,-0.0036,152,,1.7324928744782415,1.800952159768954
2025-11-03,121279.79,98217.53,-0.0038,152,,1.7324928744782415,1.800952159768954
2025-11-04,121101.28,98228.75,-0.0053,152,,1.7324928744782415,1.800952159768954
2025-11-05,121360.07,98002.08,-0.0032,152,,1.7324928744782415,1.800952159768954
2025-11-06,121142.23,98311.67,-0.0049,152,,1.7324928744782415,1.800952159768954
2025-11-07,121391.33,98040.06,-0.0029,152,,1.7324928744782415,1.800952159768954
2025-11-10,121571.61,98254.59,-0.0014,152,,1.7324928744782415,1.800952159768954
2025-11-11,121700.56,98400.5,-0.0004,152,,1.7324928744782415,1.800952159768954
2025-11-12,121855.67,98505.87,0.0009,152,,1.7324928744782415,1.800952159768954
2025-11-13,121537.99,98722.09,-0.0026,152,,1.7324928744782415,1.800952159768954
2025-11-14,121477.25,98419.45,-0.0031,152,,1.7324928744782415,1.800952159768954
2025-11-17,121136.74,98419.42,-0.0059,152,,1.7324928744782415,1.800952159768954
2025-11-18,121084.68,98087.49,-0.0063,152,,1.7324928744782415,1.800952159768954
2025-11-19,120981.9,98057.08,-0.0072,152,,1.7324928744782415,1.800952159768954
2025-11-20,120659.24,98015.56,-0.0098,152,,1.7324928744782415,1.800952159768954
2025-11-21,121157.08,97598.07,-0.0057,152,,1.7324928744782415,1.800952159768954
2025-11-24,121352.29,98065.96,-0.0041,152,,1.7324928744782415,1.800952159768954
2025-11-25,121731.05,98177.56,-0.001,152,,1.7324928744782415,1.800952159768954
2025-11-26,121841.02,98539.41,-0.0001,152,,1.7324928744782415,1.800952159768954
2025-11-27,104253.89,101995.31,-0.1444,152,,1.7324928744782415,1.800952159768954
2025-11-28,121920.62,98750.63,0.0005,152,,1.7324928744782415,1.800952159768954
2025-12-01,143657.56,116774.97,0.1783,152,,1.7324928744782415,1.800952159768954
2025-12-02,143896.06,116534.61,0.0017,152,,1.7324928744782415,1.800952159768954
2025-12-03,144031.0,116479.24,0.0009,152,,1.7324928744782415,1.800952159768954
2025-12-04,144100.39,116600.68,0.0005,152,,1.7324928744782415,1.800952159768954
2025-12-05,144192.05,116654.89,0.0006,152,,1.7324928744782415,1.800952159768954
2025-12-08,144068.15,116765.55,-0.0009,152,,1.7324928744782415,1.800952159768954
2025-12-09,144055.6,116647.68,-0.0009,152,,1.7324928744782415,1.800952159768954
2025-12-10,144480.72,116552.49,0.002,152,,1.7324928744782415,1.800952159768954
2025-12-11,144812.06,116918.35,0.0023,152,,1.7324928744782415,1.800952159768954
2025-12-12,144584.11,117286.23,-0.0016,152,,1.7324928744782415,1.800952159768954
2025-12-15,144590.56,117064.45,-0.0015,152,,1.7324928744782415,1.800952159768954
2025-12-16,144417.92,117098.54,-0.0027,152,,1.7324928744782415,1.800952159768954
2025-12-17,144249.9,116961.16,-0.0039,152,,1.7324928744782415,1.800952159768954
2025-12-18,144320.39,116779.14,-0.0034,152,,1.7324928744782415,1.800952159768954
2025-12-19,144524.21,116814.47,-0.002,152,,1.7324928744782415,1.800952159768954
2025-12-22,144707.29,116975.35,-0.0007,152,,1.7324928744782415,1.800952159768954
2025-12-23,144600.32,117180.69,-0.0015,152,,1.7324928744782415,1.800952159768954
2025-12-24,144725.22,117053.73,-0.0006,152,,1.7324928744782415,1.800952159768954
2025-12-25,123769.83,121167.02,-0.1453,152,,1.7324928744782415,1.800952159768954
2025-12-26,144733.39,117259.02,-0.0005,152,,1.7324928744782415,1.800952159768954
2025-12-29,172658.46,139920.21,0.1923,152,,1.7324928744782415,1.800952159768954
2025-12-30,172609.88,139820.23,-0.0003,152,,1.7324928744782415,1.800952159768954
2025-12-31,172326.54,139807.82,-0.0019,152,,1.7324928744782415,1.800952159768954
2026-01-01,147620.15,144227.23,-0.145,152,,1.7324928744782415,1.800952159768954
