mape,dir_acc,mape_pers,pers_dir,n_train,n_test,secs,tag,arm,ticker,regime,split_frac,steps,cap,lr,composition
5.75,54.4,5.38,35.6,100,90,315.0,boundary+freshness|AEP|low_vol|sf=0.7|st=6000|cap=100|lr=None|fresh,boundary+freshness,AEP,low_vol,0.7,6000,100,,fresh
5.36,67.8,5.38,35.6,100,90,314.0,boundary+lr|AEP|low_vol|sf=0.7|st=6000|cap=100|lr=5e-05|pure,boundary+lr,AEP,low_vol,0.7,6000,100,5e-05,pure
5.76,54.4,5.38,35.6,100,90,317.1,boundary+composition+lr|AEP|low_vol|sf=0.7|st=6000|cap=100|lr=5e-05|all,boundary+composition+lr,AEP,low_vol,0.7,6000,100,5e-05,all
5.78,54.4,5.38,35.6,100,90,321.4,boundary+lr+freshness|AEP|low_vol|sf=0.7|st=6000|cap=100|lr=5e-05|fresh,boundary+lr+freshness,AEP,low_vol,0.7,6000,100,5e-05,fresh
5.6,58.9,5.38,35.6,200,90,565.0,boundary|AEP|low_vol|sf=0.7|st=6000|cap=200|lr=None|pure,boundary,AEP,low_vol,0.7,6000,200,,pure
5.37,62.2,5.38,35.6,200,90,572.3,boundary+composition|AEP|low_vol|sf=0.7|st=6000|cap=200|lr=None|all,boundary+composition,AEP,low_vol,0.7,6000,200,,all
5.37,65.6,5.38,35.6,200,90,412.0,boundary+freshness|AEP|low_vol|sf=0.7|st=6000|cap=200|lr=None|fresh,boundary+freshness,AEP,low_vol,0.7,6000,200,,fresh
5.62,60.0,5.38,35.6,200,90,358.6,boundary+lr|AEP|low_vol|sf=0.7|st=6000|cap=200|lr=5e-05|pure,boundary+lr,AEP,low_vol,0.7,6000,200,5e-05,pure
5.32,58.9,5.38,35.6,200,90,371.2,boundary+composition+lr|AEP|low_vol|sf=0.7|st=6000|cap=200|lr=5e-05|all,boundary+composition+lr,AEP,low_vol,0.7,6000,200,5e-05,all
5.29,64.4,5.38,35.6,200,90,366.7,boundary+lr+freshness|AEP|low_vol|sf=0.7|st=6000|cap=200|lr=5e-05|fresh,boundary+lr+freshness,AEP,low_vol,0.7,6000,200,5e-05,fresh
6.25,70.2,6.18,23.4,100,47,155.8,boundary|AEP|low_vol|sf=0.85|st=3000|cap=100|lr=None|pure,boundary,AEP,low_vol,0.85,3000,100,,pure
5.63,72.3,6.18,23.4,100,47,158.6,boundary+composition|AEP|low_vol|sf=0.85|st=3000|cap=100|lr=None|all,boundary+composition,AEP,low_vol,0.85,3000,100,,all
6.29,70.2,6.18,23.4,100,47,156.0,boundary+freshness|AEP|low_vol|sf=0.85|st=3000|cap=100|lr=None|fresh,boundary+freshness,AEP,low_vol,0.85,3000,100,,fresh
6.19,70.2,6.18,23.4,100,47,169.6,boundary+lr|AEP|low_vol|sf=0.85|st=3000|cap=100|lr=5e-05|pure,boundary+lr,AEP,low_vol,0.85,3000,100,5e-05,pure
5.57,74.5,6.18,23.4,100,47,156.1,boundary+composition+lr|AEP|low_vol|sf=0.85|st=3000|cap=100|lr=5e-05|all,boundary+composition+lr,AEP,low_vol,0.85,3000,100,5e-05,all
6.28,74.5,6.18,23.4,100,47,155.7,boundary+lr+freshness|AEP|low_vol|sf=0.85|st=3000|cap=100|lr=5e-05|fresh,boundary+lr+freshness,AEP,low_vol,0.85,3000,100,5e-05,fresh
6.46,61.7,6.18,23.4,200,47,174.9,boundary|AEP|low_vol|sf=0.85|st=3000|cap=200|lr=None|pure,boundary,AEP,low_vol,0.85,3000,200,,pure
6.01,61.7,6.18,23.4,200,47,183.1,boundary+composition|AEP|low_vol|sf=0.85|st=3000|cap=200|lr=None|all,boundary+composition,AEP,low_vol,0.85,3000,200,,all
6.65,63.8,6.18,23.4,200,47,180.2,boundary+freshness|AEP|low_vol|sf=0.85|st=3000|cap=200|lr=None|fresh,boundary+freshness,AEP,low_vol,0.85,3000,200,,fresh
6.55,53.2,6.18,23.4,200,47,189.6,boundary+lr|AEP|low_vol|sf=0.85|st=3000|cap=200|lr=5e-05|pure,boundary+lr,AEP,low_vol,0.85,3000,200,5e-05,pure
5.95,59.6,6.18,23.4,200,47,176.3,boundary+composition+lr|AEP|low_vol|sf=0.85|st=3000|cap=200|lr=5e-05|all,boundary+composition+lr,AEP,low_vol,0.85,3000,200,5e-05,all
6.68,57.4,6.18,23.4,200,47,182.1,boundary+lr+freshness|AEP|low_vol|sf=0.85|st=3000|cap=200|lr=5e-05|fresh,boundary+lr+freshness,AEP,low_vol,0.85,3000,200,5e-05,fresh
