ticker,name_vol,beta,max_dd
CW,12.612535298817932,4.006639087860838,-0.9370156168803692
USMV,2.0027040761981283,0.6944501040440478,-0.4494836804844755
XLP,1.064700942658362,-0.18756737380674382,-0.3781461393300163
LLY,16.145256677613805,4.930386710663535,-0.964885877547404
COST,14.999191493928702,4.68497771356136,-0.9608795070339322
PG,3.863435564558483,1.2867516406489121,-0.6970629837974648
NKE,2.6300142858121816,-0.619138516742918,-0.7704354613202886
UNH,8.933805027957225,2.7284743542666607,-0.925089844410584
XLV,1.0877888677597232,-0.2361462891367044,-0.4057577582261017
MCD,9.419737996277405,2.9766261327922576,-0.8865038708956545
HON,7.06988818249794,2.226874846374754,-0.8012293053385066
CVX,6.6264675515117775,2.0569329390025755,-0.7897514494591356
ANDE,0.562751157077793,0.20238516309900195,-0.8368405860052619
NTR,1.328326463840567,0.5072035551090497,-0.6153711710434289
DUK,5.340159954690179,1.7112546229656254,-0.7405223265096488
JNJ,6.380058972096314,1.9890173993886955,-0.7626975803090336
LMT,10.765997881741786,3.523610731927259,-0.9574105122664297
CF,1.7491112931910704,-0.2882830005146299,-0.7678339825163081
BAYRY,2.36746466263479,0.6779878464686828,-0.8756171092729647
IYR,2.5637118538584254,0.8280446581226673,-0.7651475187041982
KO,0.31285770260128415,0.23708849503579765,-0.6906354125904279
AEP,6.384863540401335,1.9969542085850656,-0.7487229207871113
PM,6.997239844393453,2.159654161484086,-0.7912648095732495
T,1.8014765719282546,-0.15538683293810163,-0.699129033796819
ORCL,5.076257709984823,1.5571430159454074,-0.8446970860357421
SMG,0.8398750243987256,0.3870618595637219,-0.84070935612282
PEP,6.360636932298499,2.0351826344555963,-0.8032288315477567
KMB,3.0024724861042453,0.992949534518412,-0.705012217835983
MMM,5.447895938837109,1.717501643116841,-0.7870032665301782
DE,11.406372350916229,3.725926551058015,-0.9369705292563943
WM,4.56271345879855,1.5422780421171403,-0.8051327750432821
CFG,0.3440404093366605,0.1276400851060336,-0.6799665753779656
IVZ,1.8226103787048231,0.6217553996808051,-0.8675889325828374
BEN,1.4636322871694358,-0.42821517386586194,-0.7399728050466079
HBAN,0.6116542722148646,0.1524383830127961,-0.9666432436434576
HEI,9.818746971974914,3.0024643874943155,-0.8837804030010745
FITB,1.5426578134904336,0.49522549309917124,-0.9851585021794893
SPR,0.24041350419511284,-0.0003467093475265918,-0.20365259289456905
SYF,1.6249123687863725,0.40110078054622517,-0.681671214071784
DG,3.165368208742637,1.157065756337958,-0.825521753648971
C,3.451047561207966,1.0678527312162052,-0.9826751595596347
D,0.593502132928356,0.1477756428182987,-0.5597995831190241
CTVA,0.6876166655363558,0.4313152622007475,-0.47608165087334753
IBM,6.613762983599378,2.1709796485629376,-0.8441195475836423
AMD,6.116784946872074,1.311379493935987,-0.9658947367417186
BMY,0.35981947741227965,0.0884559876402071,-0.7673199742954876
SCHW,1.4674485529747854,0.5582896939789065,-0.8692358848537334
FMC,6.157432341469007,-1.6543732130378783,-0.9282385845961387
TSLA,0.8398649041745068,0.14463717959284628,-0.7363221744219115
PLD,5.235736870500545,1.556050747388899,-0.8530612238425092
SO,4.780993947449222,1.5317473483614914,-0.7053947007522101
FANG,6.244223786151553,1.9931093690806363,-0.8887935918864944
NEE,0.5271270799543738,0.22357503728724265,-0.6489028884929997
RTX,6.57109970607613,2.180407356051837,-0.810536312502653
VAL,2.2849147884158296,0.7010035975625677,-0.6381595483948084
VNQ,3.3338188274486917,1.0125968627872073,-0.7576486715699832
TDW,2.5699255488711312,0.8064599574319917,-0.9983852944488151
ENPH,1.4817200588206434,-0.0026102587392665896,-0.9597469802962872
TDG,16.085206109366815,5.0350237933288655,-0.9756660867171968
PLTR,2.9782484464339123,1.0286658257631696,-0.8461538461538463
CRWD,5.385850360085835,1.41955601697227,-0.6987408719082651
PSX,5.958874801137217,1.6806480521895133,-0.7337688191037597
STM,1.8488612609818018,0.08845857227188773,-0.9479633890684152
RKLB,6.643551029797126,1.7264630903190892,-0.829633200368177
XBI,4.826303853584532,1.4047542725188196,-0.7265246459481646
QQQ,13.440719283689468,4.0322792543041155,-0.9369235780931564
NOC,9.256455164387267,3.07336542935353,-0.9045469018930523
AMAT,10.288703003734843,2.7977150458159845,-0.9050985675126444
ASTS,2.8989767098903236,0.784219472639143,-0.9106666670905217
SATS,1.2679902019506306,-0.0010529676300234997,-0.4360430927978821
