date,mkt_ret,vol21,avg_corr,state_id,regime,p_state_0,p_state_1,p_state_2
2018-01-17,0.008798261357062647,0.07076477884324822,0.1780873176952565,2,low_vol,4.757700869378919e-06,3.4506973393095915e-08,0.9999952077929496
2018-01-18,-0.002461965664997605,0.06877658158227162,0.18734716815343405,2,low_vol,3.4746007171776153e-06,2.6753597520719774e-08,0.9999964986443408
2018-01-19,0.006630272644892949,0.06896581972333068,0.16226775438894367,2,low_vol,3.5599338670584005e-06,2.0421297918809365e-08,0.9999964196459107
2018-01-22,0.005376744704738789,0.0673171960179715,0.1681290296186667,2,low_vol,3.1618644579265637e-06,2.2815857768947112e-08,0.9999968153184233
2018-01-23,0.0034130516537103912,0.06682182857826811,0.1607114906460555,2,low_vol,2.821567680261133e-06,1.7287467389660442e-08,0.9999971611436472
2018-01-24,-0.001120995186690182,0.0676944633738506,0.15289907826570345,2,low_vol,2.9381318278558195e-06,1.3205186603032876e-08,0.9999970486613061
2018-01-25,0.0003734518769401302,0.06764915659085867,0.15257260356484859,2,low_vol,2.8060905592278644e-06,1.2549158220798205e-08,0.9999971813598383
2018-01-26,0.009129974742042989,0.07081993918476977,0.13826865492266466,2,low_vol,5.3468170601825405e-06,1.934159807756158e-08,0.9999946338428624
2018-01-29,-0.007543423840564913,0.07936008510304049,0.14680353506891586,2,low_vol,8.731276113301438e-06,1.2522248792598278e-08,0.9999912561998201
2018-01-30,-0.009696149200416521,0.08975815043516319,0.1821378135955844,2,low_vol,2.5178200853315813e-05,2.409963311562063e-08,0.9999747976991662
2018-01-31,-0.0003060256524831842,0.08676457076520837,0.20351097713212524,2,low_vol,0.0001473710729835506,5.165245033427368e-08,0.9998525772728232
2018-02-01,-0.002757802664949076,0.08644242172387286,0.18321191774391643,2,low_vol,0.011804111416119766,6.630058938749276e-06,0.9881892585260186
2018-02-02,-0.020312138422624852,0.11314369657194207,0.18595685921925043,0,normal,0.897062632601155,0.0027450720823801525,0.10019229531674445
2018-02-05,-0.03703840845343331,0.17131183265271716,0.23311769087719433,0,normal,0.9928843018702042,0.007115698112567161,1.6687307551328876e-11
2018-02-06,0.011860623857435904,0.17583048448933727,0.3923457016069843,0,normal,0.9986509767998395,0.0013490150477611792,8.152738520085311e-09
2018-02-07,-0.003684026084902103,0.17502696487480301,0.378190557134128,0,normal,0.9984726413669216,0.0015273246660004005,3.3968580421571775e-08
2018-02-08,-0.03508753573034076,0.20969107786132687,0.3724664749351138,0,normal,0.9833211605900386,0.0166788394094736,1.156732494504651e-17
2018-02-09,0.012745745390111663,0.21695269919151164,0.45270443361878265,0,normal,0.9936190774703103,0.006380922528089283,1.5672521783805274e-14
2018-02-12,0.012320367925750616,0.21965020351227343,0.4698970148378655,0,normal,0.9974514406925991,0.002548559307363076,6.720092849400878e-15
2018-02-13,0.003287644696084209,0.21912122195725725,0.4782138904832321,0,normal,0.9990461215787633,0.0009538784222167499,3.36702252370028e-14
2018-02-14,0.013009720805533207,0.22515572902273287,0.4962112871144884,0,normal,0.9992544736301124,0.0007455263696691119,7.52330940059527e-16
2018-02-15,0.011888875190616497,0.22719503662447138,0.5129193137084429,0,normal,0.9994256560039337,0.0005743439950929896,4.585313832650283e-16
2018-02-16,0.0012681853874072163,0.2273483863728608,0.5103241945210427,0,normal,0.9995943341408968,0.0004056658586810048,1.7708597948228843e-15
2018-02-20,-0.004980439460315824,0.22583050608084376,0.4996750659591977,0,normal,0.9995605795589977,0.0004394204419465907,2.7624762456525924e-15
2018-02-21,-0.005544194093231432,0.22462154046742583,0.49223092703165855,0,normal,0.9993592756349664,0.0006407243639277062,4.139401086237897e-15
2018-02-22,0.0009731149067617171,0.22399467529440956,0.49850003427572276,0,normal,0.9987908341323988,0.0012091658690252108,6.4164383617511325e-15
2018-02-23,0.015193410027015965,0.23218373222705696,0.49659066457286233,0,normal,0.996744180663297,0.0032558193366283624,2.5928006939461105e-17
2018-02-26,0.007527931164901912,0.23428716645522846,0.5214644315939969,0,normal,0.9957287592655286,0.004271240734623474,6.579014560609563e-17
2018-02-27,-0.012346386812372748,0.23402795040339555,0.5253572724749206,0,normal,0.9944615322191765,0.005538467780039352,4.074873210741652e-17
2018-02-28,-0.008999010914915697,0.23448929776533925,0.5249298752137936,0,normal,0.994305117016758,0.00569488298355191,6.207234239606596e-17
2018-03-01,-0.009610659123492328,0.23445602652940353,0.5253131523256382,0,normal,0.9945864672484419,0.005413532750037542,5.718240375921059e-17
2018-03-02,0.005984122571600095,0.23617320174468817,0.5270442210625812,0,normal,0.9954162124331408,0.00458378756841602,3.812554974771713e-17
2018-03-05,0.011914537198958719,0.24108386611392985,0.5347268294948396,0,normal,0.996159380615862,0.0038406193843872794,1.7512876860072947e-18
2018-03-06,0.00598750557278216,0.23215223149990283,0.5567682721069914,0,normal,0.9985432290232112,0.001456770977776776,1.7310515269210316e-16
2018-03-07,0.00011939187588142984,0.18955109797088066,0.5547106060395018,0,normal,0.9998733621989698,0.00012663763770165147,1.651345140308535e-10
2018-03-08,0.002983670116275521,0.18596334938792466,0.47156426728606504,0,normal,0.9999827968192238,1.7201877428566968e-05,1.304589116677499e-09
2018-03-09,0.015182147462995173,0.1911469903929013,0.4770026042280909,0,normal,0.9999688440781523,3.115588248518756e-05,4.1135631923473274e-11
2018-03-12,-0.00101404644082406,0.13619684008327507,0.48892777675956334,0,normal,0.9999402827384897,4.574544938453292e-05,1.3971810626475337e-05
2018-03-13,-0.004465474050367819,0.1348514169521771,0.36670450244427805,0,normal,0.9998169816942236,1.234930176246278e-05,0.00017066900403344757
2018-03-14,-0.00445210846861307,0.13256924069892576,0.3631272754301787,0,normal,0.9996705856876277,1.121573194769795e-05,0.0003181985815442526
2018-03-15,-0.002326898441102359,0.1333549812649319,0.3681066584664705,0,normal,0.9995502859469176,1.0836410275148987e-05,0.0004388776413659452
2018-03-16,0.004533110582671063,0.12750015653956945,0.36871504992932763,0,normal,0.9992958799418633,1.587977884565683e-05,0.0006882402808829071
2018-03-19,-0.011520323844819502,0.12905957386315264,0.35100532961947867,0,normal,0.9995621637347438,2.0416194091473554e-05,0.00041742007213857576
2018-03-20,0.001968835822966064,0.12914824328001906,0.35435100187517365,0,normal,0.9991474265649094,1.1908688819881346e-05,0.0008406647474014025
2018-03-21,-0.00037029232425217224,0.12773558676979466,0.36710565176561744,0,normal,0.9992637630336156,1.9138212949271906e-05,0.0007170987534369788
2018-03-22,-0.022822221019807763,0.15018549949597107,0.37162829518734686,0,normal,0.9999136908950372,8.61263512274631e-05,1.8275491431765935e-07
2018-03-23,-0.019393981014468296,0.16400663043413782,0.42142962123482286,0,normal,0.9999281415429104,7.18462524496474e-05,1.2203595178537882e-08
2018-03-26,0.022246150866812836,0.1743984081987552,0.4625849931492319,0,normal,0.9999182803435592,8.171930803759394e-05,3.4806229785615423e-10
2018-03-27,-0.01300128138118896,0.17638807956557973,0.47163693290298775,0,normal,0.9999714367700392,2.856012178187377e-05,3.10950976225217e-09
2018-03-28,-0.0036776388849743898,0.17241610798438414,0.4746879718389753,0,normal,0.9999882228587488,1.1745041119489604e-05,3.210170916818527e-08
2018-03-29,0.01294232250360015,0.1770250215310543,0.47396264373751845,0,normal,0.9999724216342051,2.7575315708955302e-05,3.051692988170085e-09
2018-04-02,-0.02224132095719027,0.1902051219919827,0.4851835414943346,0,normal,0.9998616344110505,0.00013836558628326187,4.290488143639263e-12
2018-04-03,0.01162668966711197,0.1937937354662458,0.5028595518055976,0,normal,0.9999652647996432,3.473516350303139e-05,3.599101365542411e-11
2018-04-04,0.010278694050606383,0.19252529458463713,0.5137038052453159,0,normal,0.9999779791383758,2.2020800795211788e-05,5.934422135993788e-11
2018-04-05,0.006627815538206584,0.1928235075478695,0.5019994139490271,0,normal,0.9999712102177679,2.878967251237213e-05,1.0918420326711499e-10
2018-04-06,-0.02125067034068999,0.20534492872129592,0.5079974078734547,0,normal,0.9998009654312542,0.00019903457044607135,6.756936249011466e-14
2018-04-09,0.001992814785290363,0.20508160032846207,0.5574096578518916,0,normal,0.9999533065298775,4.6693469402578224e-05,2.228655174645235e-12
2018-04-10,0.015298805707156816,0.205204135614436,0.55605231153883,0,normal,0.9999420857638911,5.79142362357655e-05,2.693896355987184e-13
2018-04-11,-0.003979520762724741,0.20530754097324952,0.5428726643601427,0,normal,0.9999709722244366,2.9027772949467762e-05,2.319310161355942e-12
2018-04-12,0.00568860048704931,0.20677865566765566,0.5491979882226051,0,normal,0.9999738392909875,2.616070810973561e-05,1.1600391078383946e-12
2018-04-13,-0.0028840707546076553,0.2065693384794131,0.5451703204637321,0,normal,0.9999731896452148,2.681035357157455e-05,1.6445127695541022e-12
2018-04-16,0.00941289690390405,0.2099112337064544,0.5416239861633936,0,normal,0.9999616596470807,3.83403535137183e-05,2.8382320272386963e-13
2018-04-17,0.010557991963850598,0.21288610833406918,0.5532374524633603,0,normal,0.9999531304381135,4.686956118866736e-05,7.733565358488877e-14
