ticker,n_dates,buffett_rate,trifecta_rate,dual_rate,median_composite,composite_std
FANG,21,0.23809523809523808,0.09523809523809523,0.09523809523809523,0.6896,0.2711872573913247
EXPE,6,0.0,0.0,0.0,0.6894,0.04038950358694691
T,22,0.0,0.7272727272727273,0.0,0.6853,0.12476277888725867
ASIX,12,0.0,0.8333333333333334,0.0,0.68365,0.07024143374925881
PKG,5,0.0,0.0,0.0,0.683,0.012390601276774257
ABT,6,0.0,0.0,0.0,0.68225,0.03361342985573871
HMC,10,0.0,1.0,0.0,0.6813,0.008881322474096343
CCL,6,0.0,0.0,0.0,0.68115,0.04096869129794931
CAG,10,0.0,0.8,0.0,0.6809499999999999,0.007628047660516489
CASY,6,0.0,0.0,0.0,0.68055,0.0479693096330004
DELL,6,0.0,0.0,0.0,0.6798,0.00665444713456095
FRT,5,0.0,0.0,0.0,0.678,0.05369383577283334
ELV,5,0.0,0.0,0.0,0.678,0.022610550634604203
ADSK,6,1.0,0.0,0.0,0.6777,0.0
AVGO,6,1.0,0.0,0.0,0.6754,0.00016329931618552497
CF,21,0.8095238095238095,0.0,0.0,0.6751,0.19894766217705168
CVX,21,0.23809523809523808,0.0,0.0,0.6746,0.21295958179004404
MAS,7,0.0,0.0,0.0,0.6715,0.013906884215072335
MOS,21,0.23809523809523808,0.8571428571428571,0.19047619047619047,0.6691,0.1807934073545193
AZO,5,0.0,0.0,0.0,0.6662,0.010811244146720595
BLK,18,0.7777777777777778,0.0,0.0,0.66505,0.5207739465436927
IQV,7,0.0,0.0,0.0,0.6638,0.035268561475787864
SCHW,21,0.23809523809523808,0.0,0.0,0.6619,0.3201194541179307
DIS,6,0.0,0.0,0.0,0.66185,0.040560641842390326
XOM,18,0.2222222222222222,0.0,0.0,0.6609,0.1405592160002836
XLE,1,0.0,0.0,0.0,0.6603,
HSY,7,0.0,0.0,0.0,0.6587,0.011651282373729562
TER,6,1.0,0.0,0.0,0.65705,0.06530241700478369
